رقم البيت,البيت,التعبير البلاغي,العنصر البلاغي,الشرح
78,كأنَّ ذُرَا رَأْسِ المُجَيْمِرِ غُدْوَةً مِنَ السَّيْلِ وَالغُثَّاءِ فَلْكَةُ مِغْزَلِ,كأنّ ذُرى رأس المجمير… فلكة مغزل,تشبيه,"شبّه قمم الجبل (المُجيمر) بعد أن تراكم عليها السيل والغثاء بفَلْكَةِ المغزل التي يلتفّ عليها الخيط، في دلالة على شكلٍ دائريّ ملفوف يحكمه انتظامٌ واضح."
79,وَأَلْقَى بِصَحْرَاءِ الغَبِيطِ بَعَاعَهُ نُزُولَ اليَمَانِي ذِي العِيَابِ المُحَمَّلِ,وألقى بصحراء الغبيط بَعاعَهُ,مجاز,"مجاز عن إفراغ السحاب ماءه في الصحراء، إذ شُبّه المطر بالبَعاع (ما يُلقى أو يُهراق)، والمعنى: صبّ المطر صبًّا شديدًا."
80,كَأَنَّ مَكَاكِيَّ الجِوَاءِ غُدَيَّةً صُبِحْنَ سُلَافًا مِنْ رَحِيقٍ مُفَلْفَلِ,كأنّ مكاكيّ الجواء… سُلافًا من رحيق مفلّفل,تشبيه,"شبّه أصوات الطيور (المكاكي) في الصباح بما يعلو من سُلافة الخمر الرقيقة المعطّرة، دلالة على العذوبة والرقّة والطلاوة في أصواتها."
81,كأنَّ السِّبَاعَ فيهِ غَرْقَى عَشِيَّةً بِأَرْجَائِهِ القُصْوَى أَنَابِيشُ عُنْصُلِ,كأنّ السِّباعَ فيه غرقى,تشبيه,"شبّه السِّباع في أرجاء المكان بالمخلوقات الغارقة؛ أي أنّها مغمورة تمامًا بكثافة الشجر أو الظلام أو المطر، تصويرًا لشدة الاختفاء والامتلاء."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,كأنّه حبّ فلفل,تشبيه,"شبّه بعر الظباء بحبّ الفلفل في صغره وانتظام شكله، للدلالة على كثرة الظباء وسكونها في الموضع."
,,,,
,,,,
,,,,
,,رَسْمٍ دارس,كناية,"كناية عن القِدم واندثار آثار الديار، مما يبرز اليأس من العثور على ما ينفع أو يُعوَّل عليه."
,,,,
,,نسيم الصبا جاء بريّا القرنفل,استعارة,"شبّه نسيم الصبا بحاملٍ للهدايا العطرية، إذ جعله يأتي بعطر القرنفل، وهو إسناد مجازي يزيد جمال المشهد وحيويته."
,,,,
,,حتى بلّ دمعي محملي,مبالغة,"مبالغة في كثرة الدمع حتى ابتلّ به المحمل، وهو أمر غالبًا غير واقعي، يُقصد به المبالغة في شدة الحزن."
,,,,
,,,,
,,,,
,,لك الويلات,مجاز,"مجاز عن شدّة العتاب واللوم، فالويل ليس مقصودًا حقيقة بل يُراد به المبالغة في التهديد اللفظي."
,,,,
,,عقرت بعيري,مجاز,"مجاز عن شدة إزعاجه لها أو تسببّه في مشقة الرحلة، إذ العقر الحقيقي غير مقصود."
,,,,
,,جناكِ المعلَّل,مجاز,"مجاز عن اللطف والوصال وما تجود به من مودة، فالجنى الحقيقي (الثمر) غير مراد، بل أُريد به ما تمنحه من حنان وعطف."
,,,,
,,ألهيتها,مجاز,"مجاز عن إشغال الأم عن طفلها، إذ ليس المقصود الإلهاء الحقيقي فقط، بل المبالغة في وصف تأثير حضوره عليها."
,,,,
,,لم يُحوَّل,مجاز,"مجاز عن الثبات في مكانه وعدم تغيّر موقفه، وليس المعنى التحوّل المادي الحقيقي."
,,,,
,,تَعَذَّرَتْ عليّ,مجاز,"مجاز عن امتناعها أو تمنّعها، إذ ليست هناك مشقّة حقيقيّة، بل تصوير لتعذّر لقائها أو وصالها."
,,,,
,,تدلُّل,مجاز,"مجاز عن تكلّف اللين والملاطفة الزائدة، وليس المقصود الدلال الحقيقي، بل تصوير لحالها في المماطلة وإطالة الوصل قبل الفراق."
,,,,
,,تأمري القلب يفعل,كناية,"كناية عن خضوعه التام لها وطاعته العاطفية، حتى كأنّ القلب ينفّذ أوامرها مباشرة دون إرادة منه."
,,,,
,,تنسلي,ردّ الأعجاز على الصدور,"العلاقة الصوتية والمعنوية بين سلّي / تنسلي تُعيد ختام الجملة إلى بدايتها بصيغة متناسبة، لتأكيد معنى الفكاك والانفصال."
,,,,
,,أعشار قلبٍ مقتّل,مبالغة,"مبالغة في تصوير شدّة الوجد، حتى كأن القلب مُقسّم مُنهك مُقتّل من شدّة العشق وتأثير نظراتها."
,,,,
,,لا يُرام خباؤها,مبالغة,"مبالغة في وصف شدة صيانتها ومنعتها، حتى لا يجرؤ أحد على الاقتراب من خبائها أو طلبها."
,,,,
,,لو يسرّون مقتلي,مبالغة,"تصوير شدّة عداوة القوم حتى ليُخفي بعضهم رغبته في قتله، وهو مبالغة لتشديد الخطر الذي واجهه."
,,,,
,,,,
,,لِبْسَةَ المُتَفَضِّلِ,استعارة,"استعارة تمثّل خفّة اللباس وبساطته بما يلبسه المتفضل (من يضع ثيابًا خفيفة)، للدلالة على بساطة الهيئة دون مباشرة الوصف."
,,,,
,,الغاوية تنجلي,استعارة,"شبّه الضلال أو السلوك الخاطئ بالغشاء أو الظلمة التي تنجلي، مظهرًا حاله كمن غشيته غمة لا تزول."
,,,,
,,على إثرنا,مجاز,"مجاز عن المتابعة والاقتراب الشديد، وليس المقصود أثر الأقدام الحقيقي، بل ملازمة السير خلفه."
,,,,
,,,,
,,هَضيمَ الكَشح,كناية,"كناية عن دِقّة الخصر ولطافة القوام، من غير تصريح بمظهرٍ حسّي مباشر."
,,ريّا المخلخل,استعارة,"استعارة في وصف العطر بالريّا المخلخل، أي النفّاذ المتحرّك، فالعطر لا “يخلخل” حقيقةً بل يسري ويتحرك."
,,,,
,,,,
,,بناظرة من وحش وجرة مطفل,تشبيه,"شبّه نظرتها بنظرة الظبية الصغيرة التي تحمي وليدها، للدلالة على الحذر والحياء ورقّة الالتفاتة."
,,,,
,,,,
,,,,
,,ساقٍ كأنبوب السقي المذلل,تشبيه,"شبّه الساق بالأنبوب الملساء المستقيمة التي يُساق بها الماء، للدلالة على دقّة الساق ونعومتها وانتظام شكلها."
,,,,
,,نؤومُ الضحى,كناية,"كناية عن دلالها ونعيم عيشها ورفاهيتها، إذ من ينام إلى الضحى يُعدّ مرفَّهًا قليل الهموم."
,,,,
,,أو مساويك إسحل,تشبيه,"شبّه الأصابع بالمساويك الدقيقة المصقولة، دلالة على الاستواء والنعومة ودقّة التكوين."
,,,,
,,كأنها منارة ممسى راهب متبتّل,تشبيه,"شبّهها بمنارة الراهب التي تهدي التائهين في الليل، للدلالة على صفائها وعلوّ قدرها ووضوح أثرها."
,,,,
,,يرنو الحليم صبابة,مبالغة,"وصف شدّة ميل الحليم—وهو صاحب العقل والوقار—إليها، حتى يفيض قلبه صبابة، مما يبالغ في تصوير جمالها وتأثيرها."
,,,,
,,غذاها نمير الماء غير محلل,استعارة,"شبّه الماء العذب الذي شربته الناقة بالغذاء الذي زادها صفاءً وجمالًا، والمعنى يشير إلى نقاء البشرة ورقّتها."
,,,,
,,وليس فؤادي عن هواك بمنسلي,طباق سلب,الجمع بين تسلّت (زالت) و منسلي (لا يزول) لإبراز contrast بين ما يزول من طباع الشباب وما لا يزول من حبّها.
,,,,
,,نَصِيحٍ على تعذاله غير مؤتلي,مجاز,"مجاز عن شدّة الجدية والإصرار في نصحه والدفاع عنها، فعدم الإتلاء (عدم الضعف أو الفتور) تصوير لثبات عزمه."
,,,,
,,ملقٍ سدوله,استعارة,"صوّر الليل ككائن يُلقي ستوره على الناس، أي ينشر ظلمته، للدلالة على إحكام الهموم قبضتها عليه."
,,,,
,,أردف أعجازًا وناءَ بكلكل,استعارة,"صوّر الليل كجملٍ يحمل أجزاؤه ويرفع صدره (كلكل)، مبالغة في تصوير تراكم ظلامه وثقله حتى كأنه ذو جسد ضخم ينوء بحمله."
,,,,
,,وما الإصباح فيك بأمثل,طباق سلب,"تقابل بين الليل والإصباح لإظهار أن الصبح لا يختلف كثيرًا عن الليل في همومه، في تأكيد لشدة حزنه."
,,,,
,,بكلّ مغار الفتل,كناية,"كناية عن قوة تماسك النجوم وتلاحم ضيائها في الليل، إذ يُشبَّه ثباتها بما يُشدّ بالحبال المحكمة."
,,,,
,,,,
,,ذَلولٍ مُرَجَّل,استعارة,"وصف نفسه بالذلول (اللين المنقاد) والمُرَجَّل (المهيّأ كالدابة المهيّأة)، استعارة تُبرز تواضعه واستعداده لخدمة قومه."
,,,,
,,يعوي كالخليع المعيَّل,تشبيه,"شبّه عواء الذئب بعواء الرجل الضائع (الخليع) الذي أثقله العيال، لإبراز شدّة الانفراد والضياع في ذلك المكان الموحش."
,,,,
,,عَوَى… فقلتُ له,استعارة,"خاطب الذئب وردّ عليه كأنه يفهم كلام البشر، استعارة تُبرز شدّة الوحشة ووحدة الشاعر حتى يخاطب الحيوان."
,,,,
,,أفاته,مجاز,"مجاز عن العجز عن الحفاظ على ما ينالانه؛ إذ ليست الفوات حقيقة مادية فقط، بل تصوير لقلة الجدوى وضعف الحال."
,,,,
,,هيكل,استعارة,"وصف الفرس بالهيكل (الجسم العظيم)، استعارة تُبرز ضخامة بنيته وقوّة تكوينه وهيبته."
,,,,
,,كجلمودِ صخرٍ حطَّه السيل من علِ,تشبيه,"شبّه سرعة اندفاع الفرس واندلاقه بجلمود صخرٍ يهوي من علوّ بفعل السيل، للدلالة على العنفوان والقوة والانقضاض الشديد."
,,,,
,,كما زلّتِ الصفواءُ بالمتنزّل,تشبيه,"شبّه انزلاق اللبد عن ظهر الفرس بانزلاق الصخرة الملساء بمن ينزل عليها، للدلالة على سهولة انزلاق اللبد وسرعة حركة الفرس."
,,,,
,,,,
,,أثرنَ الغبار بالكديد المركل,مبالغة,"مبالغة في وصف شدة عدو الخيل وانبعاث الغبار منها رغم الوَنَى (التعب)، مما يدل على قوة اندفاعها واستمرارها."
,,,,
,,العنيفُ المثقّل,طباق إيجاب,"الجمع بين صفة العنيف وصفة المثقّل لإبراز اجتماع القوّة وشدّة الثقل فيمن يحاول الإمساك بالفرس، مما يبرز قوّته الفائقة."
,,,,
,,,,
,,ساقا نعامة,تشبيه,"شبّه ساقي الفرس بساقي النعامة لطولها وقوتها وسرعتها، وهو تشبيه مشهور عند العرب في وصف الفرس."
,,إرخاء سرحان وتقريب تتفل,تشبيه,"شبّه جري الفرس بإرخاء الذئب (السرحان) وتقريب الثعلب (التتفل)، أي خطوات سريعة متتابعة ترسم صورة دقيقة لسرعته ورشاقته."
,,,,
,,ليس بأعزل,مجاز,"مجاز عن نفي الضعف أو النحول، فـ""الأعزل"" في الأصل قليل اللحم، ونفيُه يدل على تمام القوّة والبنية المتماسكة."
,,,,
,,أو صلايةُ حنظل,تشبيه,"شبّه استواء السَّرَاة وصلابتها بصَلاية الحجر التي يُدق عليها الحنظل، للدلالة على المتانة والصلابة وشدّة الاستواء."
,,,,
,,,,
,,في مُلاءٍ مُذَيَّل,تشبيه,"تشبيه ثياب العذارى المذيَّلة بأذناب النعاج وخفّة حركتها، لتقوية الصورة وجعلها أكثر وضوحًا وجمالًا."
,,,,
,,بجيدٍ معمٍّ,كناية,"كناية عن السيّد أو الرجل المرموق في العشيرة، إذ ""المعمّ"" كثير النعمة والجاه، مما يشير إلى عزّة المكانة وشرف الصحبة."
,,,,
,,فأَلْحَقَه بالهاديات,مجاز,"مجاز عن سرعة الفرس في اللحاق بالنوق المتقدّمة (الهاديات)، فالإلحاق ليس مقصودًا لذاته بل للدلالة على شدّة سرعته وقوة عدوه."
,,,,
,,لم يُنضح بماءٍ فيغسل,كناية,"كناية عن أنّ الفرس سريع شديد العدوّ حتى إن الغبار لا يلحقه ماءٌ ليُطهّر أثره، إشارة إلى شدّة الجري وقلة توقفه."
,,,,
,,ظلّ طهاة اللحم…,كناية,"كناية عن كثرة الغنائم والولائم التي أقامها القوم، إذ ذكر الطهاة وانشغالهم يوحي بالسعة والوفرة دون تصريح مباشر."
,,,,
,,متى ما ترقّ العين فيه تسهّل,استعارة,"استعارة تصوّر المشهد كأنّه ينفتح ويصبح سهلًا بمجرد أن ترفعه العين، إشارة إلى اتساع الأفق وامتداد الطريق."
,,,,
,,بات عليه سرجه ولجامه,مجاز,"مجاز عن استمرار التعب والجهد حتى الليل دون راحة أو نزع للسَّرج، مما يصوّر طول الرحلة ومشقّتها."
,,,,
,,,,
,,كمصابيح راهب أمَال السَّليط بالذبال المفتّل,تشبيه,"شبّه لمعان البرق بمصابيح الراهب حين يميل فتيل الزيت ويشعلها، للدلالة على صفاء الضوء واستمراره في اللمعان."
,,,,
,,بعد ما متأمّل,مجاز,"مجاز عن طول الانتظار وامتداد الزمن الذي كان يأمل فيه اللقاء أو الظفر بما يريد، وليس المقصود التأمّل الذهني فقط."
,,,,
,,أيمنُ صوبه وأيسره على السِّتار فيذبل,طباق إيجاب,"تقابل بين أيمن / أيسر لإظهار انتشار المطر في جهتين معًا، ثمّ ذبول ما على الستار، مما يقوّي الصورة البيئيّة ويزيد تماسكها."
,,,,
,,,,
,,,,
,,,,
,,نزولَ اليماني ذي العياب المّحمّل,تشبيه,"شبّه نزول المطر الغزير بنزول رجلٍ يمانيٍّ يحمل عيابًا (أوعية مملوءة)، أي كأنّ السحاب يحمل الماء حملاً ثقيلاً ثم يسكبه دفعةً واحدة."
,,,,
,,,,
,,أنابيشُ عنصل,تشبيه,"شبّه ما يحيط بالمكان من نباتات طويلة رقيقة (الأنابيش) بنبات العُنصل المعروف بدقّته وطوله، لتقوية صورة الامتلاء والاختفاء."
,,,,
,,بمَأَسِل,مجاز,"مجاز عن الموضع الذي يجتمع فيه الماء أو يستقر، والمراد مكان اللقاء أو الموضع الذي عرف فيه النساء، في إشارة لطيفة دون ذكر صريح."
,,,,
,,يا عجبًا لرحلها المتحمل,مجاز,"مجاز عن شدّة ما حملته الناقة من أثقال أو أحمال، فالرحل لا يتعجّب، وإنما هو تصوير للموقف وإبراز لمقدار المشقة."
,,,,
,,يكبّ على الأذقان دوحَ الكنهبل,تشبيه,"شبّه شجر الكنهبل حين تميل أغصانه من شدّة المطر حتى تكاد تمسّ الأذقان، بصورة منكبّة، لإظهار قوّة السيل وثقل المطر على الأشجار."
