#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
654,2,قيس بن ذريح,قصيدة رقم 50، طويل، قُ,تُكَذِّبني بالوُدِّ لُبْنَى وَلَيْتَها تَكَلَّفُ مِنِّيمِثْلَها فَتَذُوقُ,تشبيه,تشبيه
655,19,نقائض جرير والفرزدق,جرير، نقيضة رقم 53، الوافر، بَا,فلا وأَبيكَ ما لاقَيْتَ حَيًّاكَيَرْبوعٍ إِذا رَفَعوا العُقابا,تشبيه,تشبيه
656,4,قيس بن ذريح,قصيدة رقم 50، طويل، قُ,تَتُوقُ إِلَيْكِ النَّفْسُ ثمَّ أَرُدُّهَا حَيَاءًوَمِثْلِي بالحَيَاءِ حَقِيقُ,تشبيه,تشبيه
657,9,الفرزدق,قصيدة رقم 277، البسيط، رَا,إنّ أبا الحَارِثِ العَبّاسَ نَائِلُهُمِثْلُ السِّمَاكِ الذي لا يُخلِفُ المَطَرَا,تشبيه,تشبيه
658,3,الفرزدق,قصيدة رقم 277، البسيط، رَا,إنّ النّدَى وَيدَ العَبّاسِ، فارْتَحِلوا،مِثْلُ الفُرَاتِ إذا ما مَوْجُهُ زَخَرَا,تشبيه,تشبيه
659,4,الفرزدق,قصيدة رقم 277، البسيط، رَا,إنْ تَبْلُغوهُ تَكونُوامِثلَ مُنتَجعٍ غَيْثًا يَمُجّ ثَآهُ المَاءَ والزَّهَرَا,تشبيه,تشبيه
660,7,الفرزدق,قصيدة رقم 277، البسيط، رَا,إذْ وَقَعَتْكوُقُوعِ الطّيرِ وانْجَدَلَتْ رُكبانُهَا حِينَ لاقَى الأزْرُعُ القَصَرَا,تشبيه,تشبيه
661,8,الفرزدق,قصيدة رقم 277، البسيط، رَا,مِثْلَ الجَرَاثيمِ مَوْتَى حينَ حَلّ بهِم طول السُّرَى ركِبوا أعضادَهَا اليُسُرَا,تشبيه,تشبيه
662,3,الفرزدق,قصيدة رقم 289، منتهى الطلب، وافر، ابِ,أأجْعَلُ دارِمًا كابْنَيْ دُخانٍ وكانا في الغَنِيمَةِكالرِّكابِ,تشبيه,تشبيه
663,5,الفرزدق,قصيدة رقم 462، الطَّويل، مِ,وَكُنتَكَذِئْبِ السُّوْءِ لمّا رَأى دَمًا بصَاحِبِهِ يَوْمًا، أحَالَ على الدّمِ,تشبيه,تشبيه
664,31,جرير بن عطيّة,قصيدة رقم 260، جرير، الوافر، لَا,تَسُوفُ التغلبية وهي سكرى قَفَا الخنزيرتَحْسَبُهُ غزالا,تشبيه,تشبيه
665,56,جرير بن عطيّة,قصيدة رقم 53، جرير، الكامل، دَا,نسري إِذا سرت النجوموشبهت بقرًا ببرقة عالج مطرودا,تشبيه,تشبيه
666,15,جرير بن عطيّة,قصيدة رقم 260، جرير، الوافر، لَا,ولكن بالعُيون وكل خَدتَخال به لبهجته صِقالا,تشبيه,تشبيه
667,13,جرير بن عطيّة,قصيدة رقم 260، جرير، الوافر، لَا,وفي الأَظعانمثلُ مَهَا رُمَاح نصبن له المصائدَ والحبالا,تشبيه,تشبيه
668,1,الفرزدق,قصيدة رقم 382، البسيط، لِي,كَم لِلمُلاءَةِ مِن أَطلالِ مَنزِلَةٍ بِالعَنبَرِيَّةِمِثلَ المُهرَقِ البالي,تشبيه,تشبيه
669,4,الفرزدق,قصيدة رقم 382، البسيط، لِي,كَأَنَّما طَرَفَت عَينَيَّ كاحِلَةٌ في الدارِ مِن سَرِبٍ بِالماءِ مِسيالِ,تشبيه,تشبيه
670,3,الفرزدق,قصيدة رقم 181، الطويل، رُهْ,بِهِ كُلُّ ذَيّالِ العَشِيّكَأنّهُ هِجَانٌ دَعَتْهُ للجُفُورِ فَوادِرُهْ,تشبيه,تشبيه
671,8,ذو الرمة,قصيدة رقم 51، الوافر، لا,كأَنّي أَشْهَلُ العَيْنَيْنِ بازٍ على عَلْياءَ شَبَّهَ فاسْتَحالا,تشبيه,تشبيه
672,2,ذو الرمة,قصيدة رقم 51، الوافر، لا,فبِتُّكأَنَّني رَجُلٌ مَريضٌ أََظنُّ الحيَّ قد عَزَمُوا الزِّيالا,تشبيه,تشبيه
673,9,الفرزدق,قصيدة رقم 181، الطويل، رُهْ,كَأنّ على ذي الطِّنْءِ، عَيْناً بَصِيرَةً بمَقْعَدِهِ، أوْ مَنْظرٍ هُوَ نَاظِرُهْ,تشبيه,تشبيه
674,1,ذو الرمة,قصيدة رقم 51، الوافر، لا,أَراحَ فريقُ جيرتِكِ الجِمالاكأَنَّهم يريدونَ احتِمالا,تشبيه,تشبيه
675,38,جرير بن عطيّة,قصيدة رقم 53، جرير، الكامل، دَا,أَمسى الفرزدقُ يا نَوارُكأَنه قِرد يحث على الزناء قرودا,تشبيه,تشبيه
676,10,عبد الله بن عمر العرجي,قصيدة رقم (58)، الطّويل، قَ.,تَخَالُ خِمَارَ الخَزِّ من فَوْقِ جِيدِهِ عَلَى فَرْعِ خُوطٍ مِنْ أَبَاءٍ مُعَلَّقا,تشبيه,تشبيه
677,13,عبد الله بن عمر العرجي,قصيدة رقم (58)، الطّويل، قَ.,تَصَرَّفُهُ فِيمَا اشْتَهَتْ فَيُطيعُهاكَمَا صَرَّفَ الرَّاعي المُعِيدَ المُسَوَّقَا,تشبيه,تشبيه
678,24,جرير بن عطيّة,قصيدة رقم 53، جرير، الكامل، دَا,ولهم مجالسُ لا مجالسَمِثلُها حسبًا يُؤَثَّل طارفًا وتليدا,تشبيه,تشبيه
679,31,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,أرعَى الثَّريّا تَقُودُ التّالياتِ مَعًاكما تَتابَعَ خَلفَ الموكِبِ الرُّفَقُ,تشبيه,تشبيه
680,32,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,مُعارِضاتٍ سُهَيلًا وَهوَ مُعتَرِضٌكأنَّهُ شاةُ رَملٍ مُفرَدٍ لَهِقُ,تشبيه,تشبيه
681,20,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,كالشَّمسِ يَوم سعُودٍ أو مُرَشَّحَةٍ بالأسْحَمَينِ دعاها تَوأمٌ خَرِقُ,تشبيه,تشبيه
682,25,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,تُعِيرُهُ الرِّيحُ طورًا ثُمَّ تَرجِعُهُكما استُعِيرَ رداءُ اليُمنَةِ الخَلَقُ,تشبيه,تشبيه
683,28,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,كأنَّ فَصَحَ النَّصارَى كان مَوعِدَهُمْ هذا مُقِيمٌ وهذا ظاعِنٌ قَلِقُ,تشبيه,تشبيه
684,11,عبد الله بن عمر العرجي,قصيدة رقم (64)، البسيط، قِ.,تُنَضِّحُ الرّيقَ مِنْ فِيهَا إذا نَطَقَتْكَأَنَّمَا مَضَغَتْ عِلْكَ الذَّعالِيقِ,تشبيه,تشبيه
685,11,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,مِن كُلِّ أشحَجَ نَهّاضٍتَخالُ بِهِ جِنًّا يُخالِطُهُ مِن سَومِهِ عَنَقُ,تشبيه,تشبيه
686,8,الفرزدق,قصيدة رقم 461، البسيط، مِ,ألا تَرَى القَوْمَ مِمّا في صُدُورِهِمُكَأنّ أوْجُهَهُمْ تُطْلَى بِتَنّومِ,تشبيه,تشبيه
687,2,الفرزدق,قصيدة رقم 461، البسيط، مِ,مِنْ كُلّ أبْلَجَكَالدّينَارِ غُرّتُهُ، مِنْ آلِ حَنظَلَةَ البِيضِ المَطاعيمِ,تشبيه,تشبيه
688,2,البعيث المجاشعي,قصيدة رقم 58، الطويل، ما,بصارة فالقوين لا يا عرفتهكما عرف الحبر الكتاب النمنما,تشبيه,تشبيه
689,3,البعيث المجاشعي,قصيدة رقم 58، الطويل، ما,من الغاليات في وسامكأنما تثاب رضابا من سحاب محطما,تشبيه,تشبيه
690,1,عبد الله بن الزبير,قصيدة رقم 32، طويل، سِ,وأَسلَمَنِي حلمي فَبِتَكأَنَّنِي,تشبيه,تشبيه
691,117,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,إذَا اعْصَوْصَبَتْ في أَيْنُقٍفكأنَّما بِزَجْرَةِ أخرى في سِواهُنَّ تُضْرَبُ,تشبيه,تشبيه
692,118,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,تَرَى المَرْوَ والكَذّان يَرْفَضُّ تَحْتَهاكما ارْفَضَّ قَيْضُ الأفْرُخِ المُتَقَوِّبُ,تشبيه,تشبيه
693,119,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,تُرَدِدُ بالنَّابَيْنِ بَعْدَ حَنِيْنِها صَرِيْفًاكما رَدَّ الأغانيَ أَخْطَبُ,تشبيه,تشبيه
694,10,سُراقة البارقي,قصيدة رقم 10، الطويل، قِ,ودُرُنَا وَدَارَ الجَمْعُ فِي حَمَس الوَغَىكَمَا دَارَ وِلْدَانٌ لَهُوْا بِالْمَخَارِقِ,تشبيه,تشبيه
695,124,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,مِن الأرْحَبِيَّاتِ العِتاقِكأنَّها شَبُوبُ صِوارٍ فَوْقَ عَلياءَ قَرْهَبُ,تشبيه,تشبيه
696,126,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,وتَحْسِبُه ذا بُرْقُعٍوكأنَّه بِأسْمالِ جَيْشانِيّةٍ مُتَنَقِّبُ,تشبيه,تشبيه
697,120,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,إذا قَطَعَتْ أجْوازَ بِيْدٍكأنَّما بِأعلامِها نَوْحُ المَآلِي المُسَلِّبُ,تشبيه,تشبيه
698,123,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,كَتُومٌ إذا ضَجَّ المَطِيّكأنَّما تَكَرَّمُ عن أخلاقِهِنَّ وتَرْغَبُ,تشبيه,تشبيه
699,129,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,كأنَّ المَطافيلَ المَوالِيْه وَسْطَه يُجاوبُهنَّ الخَيْزُرانُ المُثَقَّبُ,تشبيه,تشبيه
700,7,عمر بن أبي ربيعة,قصيدة رقم 33، البسيط، با,مُرَنَّحُ العقلِ قدْ ملَّ الحياةَ ومَنْ يَعْلَقْ هوىمثلِها يَسْتَوْجِبِ العطبا,تشبيه,تشبيه
701,6,عمر بن أبي ربيعة,قصيدة رقم 33، البسيط، با,فَهوكشبهِ المُعنّى لا يموتُ ولا يحيا وقدْ جَشَّمَتْهُ بالهوى تعبا,تشبيه,تشبيه
702,136,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,ووَلَّى بِإِجْريّا وِلافٍكأنَّه على الشَّرفِ الأَعْلى يُساطُ ويُكْلَبُ,تشبيه,تشبيه
703,138,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,كأن حَصَى المَعْزاءِ بَيْنَ فُروجِها نَوَى الرَّضْخِ يَلْقى المُصْعِدَ المُتَصَوِّبُ,تشبيه,تشبيه
704,133,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,فَكان ادِّراكًا واعْتِراكًاكأنَّهُ على دُبُرٍ يَحْمِيهِ غَيْرانُ مُوْأَبُ,تشبيه,تشبيه
705,47,كُثير عزة,قصيدة رقم 04، الطويل، لِ,وما زلتُ من ليلى لدن طرَّ شاربي إلى اليومكالمقصَى بكُلِّ سَبيلِ,تشبيه,تشبيه
706,38,كُثير عزة,قصيدة رقم 04، الطويل، لِ,كأنَّ دموع العينِ واهيةُ الكُلى وعتْ ماء غَربٍ يوم ذاك سجيلِ,تشبيه,تشبيه
707,104,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,قَتِيلٌكأنَّ الوُلَّهَ النُّكْدَ حَوْلَه يَطُفْنَ بِهِ شُمَّ العَرانِيْنِ رَبْرَبُ,تشبيه,تشبيه
708,100,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,وحَزْمٌ وجودٌ في عَفافٍ ونائِلٍ إلى مَنْصِبٍ مامِثْلُه كانَ مَنْصِبُ,تشبيه,تشبيه
709,40,الشمردل بن شريك,قصيدة رقم 175، منتهى الطلب، بسيط، قُ,إذ هَيَّجتْ قَزَعًا تَحدُوهُ نافِجَةٌكأنَّما الغَيمُ في صُرَّادِها الخِرَقُ,تشبيه,تشبيه
710,3,أبو وجزة السعديّ,القصيدة رقم 26، الوافر، رُ,وثامركربلٍ وعميمُ دِفْلى عليها والندى سَبطٌ يمورُ,تشبيه,تشبيه
711,1,أبو وجزة السعديّ,القصيدة رقم 26، الوافر، رُ,كأنَّ النَّقْد العَلَسيَّ أجنى ونعمَّ نبته وادٍ مطيرُ,تشبيه,تشبيه
712,4,الأخطل,قصيدة رقم 310، منتهى الطلب، طويل، لُ,كأنِّي غَداةَ انْصَعْنَ للبَيْنِ مُسْلَمٌ بِضَرْبَةِ عُنْقٍ أوْ غَوِيٌّ مُعَذَّلُ,تشبيه,تشبيه
713,114,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,كأنَّ ابنَ آوى مُوْثَقٌ تحتَ زَوْرِها يُظَفِّرُها طَوْرًا وطَوْرًا يُنَيِّبُ,تشبيه,تشبيه
714,28,كُثير عزة,قصيدة رقم 04، الطويل، لِ,تذكرتُ أترابًا لعزَّةَكالمَها حُبينَ بليطٍ ناعمٍ وقبولِ,تشبيه,تشبيه
715,29,كُثير عزة,قصيدة رقم 04، الطويل، لِ,وكنتُ إذا لاقيتُهنَّكأنّني مخالطةٌ عقلي سلافُ شمولِ,تشبيه,تشبيه
716,35,أبو صخر الهذلي,قصيدة رقم 08، الطويل، بُ,إِذَا غِبْتَ رَجَّيْنَا إِيَابَكَمِثْلَ مَا يرَجَّى سِمَاكِيٌّ مَرَتْهُ الجَنَائِبُ,تشبيه,تشبيه
717,26,الأخطل,قصيدة رقم 2، بِ، طويل,يُطَرِّحْنَ بالدَّربِ السِّخالَ،كأنَّما يُشَقِّقْن‌َ، بالأشلاءِ، أردِيةَ العَصْبِ,تشبيه,تشبيه
718,3,الطرماح بن حكيم,قصيدة رقم 25، مجزوء الكامل، لْ,خَلَقًا،كَأَنَّ تُرَابَ مَدْ رَجَتَيْهِ يُنْخَلُ بِالمَنَاخِل,تشبيه,تشبيه
719,4,الطرماح بن حكيم,قصيدة رقم 25، مجزوء الكامل، لْ,وكَأَنَّمَا بَسَطَ الشَّوَا طِبُ بَيْنَهَا حُصُرَ الرَّوَامِلْ,تشبيه,تشبيه
720,30,الأخطل,قصيدة رقم 2، بِ، طويل,على ابنِ أبِي العاصِي، قُرَيشٌ تَعَطَّفَتْ لَهُ صُلبُها، لَيسَ الوَشائظُكالصُّلْبِ,تشبيه,تشبيه
721,35,الأخطل,قصيدة رقم 2، بِ، طويل,وفي الحُقْبِ، مِن أفناءِ قَيسٍ،كأنَّهُمْ بِمُنعَرَجِ الثَّرثارِ، خُشْبٌ، علَى خُشْبِ,تشبيه,تشبيه
722,16,أبو صخر الهذلي,قصيدة رقم 08، الطويل، بُ,قَصَائِدَ لَا يَصْلُحْنَ إِلَّالِمِثْلِهِ يَشِيعُ لَهُ مِنْهَا قَوَافٍ غَرِائِبُ,تشبيه,تشبيه
723,25,أبو صخر الهذلي,قصيدة رقم 08، الطويل، بُ,وَرُوِّحَتْ الأَشْوَالُ حُدْبًاكَأَنَّهَا قِسِيُّ سَرَاءٍ قَدْ بَرَاهُنَّ شَاسِبُ,تشبيه,تشبيه
724,27,أبو صخر الهذلي,قصيدة رقم 08، الطويل، بُ,أَغَرُّ أَسِيدِيٌّ تَرَاهُكَأَنَّهُ مِنَ الجُودِ يُعْطِي مَالَهُ وَهْوَ لَاعِبُ,تشبيه,تشبيه
725,13,الأخطل,قصيدة رقم 2، بِ، طويل,يَحِدْنَ بِنا، عَن كُلِّ شيءٍ،كأنَّنا أخارِيسُ عَيُّوا بالسَّلامِ، وبالنَّسْبِ,تشبيه,تشبيه
726,6,حارثة بن بدر الغُدَانِي,قصيدة رقم 16، البسيط، دِ,فظَلْتكالشاربِ النشوان محتبسًا يومًا طويلًا على عنسٍ وأقْتادِ,تشبيه,تشبيه
727,2,ذو الرمة,قصيدة رقم 19، الوافر، مُ.,نَعَمْ طَرَبًاكما نَضَحَتْ فَرِيٌّ أو الخَلَقُ المُبينُ بها الهُزومُ,تشبيه,تشبيه
728,44,الأخطل,قصيدة رقم 2، بِ، طويل,تَذُودُ القَنا، والخَيلُ تُثنَى عَلَيهِمِ، وهُنَّ، بأيدِي المُستَمِيتِينَكالشُّهْبِ,تشبيه,تشبيه
729,45,الأخطل,قصيدة رقم 2، بِ، طويل,ولَم تَرَ عَينِيمِثلَ مُلكٍ، رأيتُهُ أتاكَ، بِلا طَعنِ الرِّماحِ، ولا الضَّرْبِ,تشبيه,تشبيه
730,11,ذو الرمة,قصيدة رقم 78، الطويل، بِ,ولكنَّني خُبِّرْتُ أَنَّكَ مُلْصَقٌكما أُلْصِقَتْ من غيرِها ثُلْمَةُ القَعْبِ,تشبيه,تشبيه
731,48,الأخطل,قصيدة رقم 2، بِ، طويل,لَحَى اللَّهُ صِرمًا، مِن كُلَيبٍ،كأنَّهُمْ جِداءُ حِجازٍ لاجئاتٌ إلى زَرْبِ,تشبيه,تشبيه
732,7,ذو الرمة,قصيدة رقم 19، الوافر، مُ.,بِعَقْوَتِها الهِجانُ وكُلُّ طِرْفٍكأَنَّ نِجارَ نُقْبَتِهِ أَديمُ,تشبيه,تشبيه
733,9,ذو الرمة,قصيدة رقم 19، الوافر، مُ.,كأَنَّ عيُونَهُنَّ عُيونُ عِينٍ تُرَبِّيها بأَسنُمَةَ الجَميمُ,تشبيه,تشبيه
734,3,الأخطل,قصيدة رقم 251، رِ، بسيط,تَلتَجُّ فِيها رُعُودٌ، غَيرُ كاذِبةٍ، في بارِقٍ،كنِظامِ الدُّرِّ، موّارِ,تشبيه,تشبيه
735,4,ذو الرمة,قصيدة رقم 19، الوافر، مُ.,كأَنَّ بلادَهُنَّ سَماءُ لَيْلٍ تَكشَّفَ عن كواكِبها الغُيومُ,تشبيه,تشبيه
736,8,ذو الرمة,قصيدة رقم 68، الطويل، كِ,كأَنَّ علَيها سَحْقَ لِفْقٍ تَنَوَّقَتْ له حَضْرَمِيّاتُ الأَكُفِّ الحَوائِكِ,تشبيه,تشبيه
737,4,ذو الرمة,قصيدة رقم 68، الطويل، كِ,بمُسْتَرجَف الأَرطيكأَنَّ عَجاجَهُ من الصَّيفِ أَعرافُ الهِجانِ الأَوارِكِ,تشبيه,تشبيه
738,3,حارثة بن بدر الغُدَانِي,قصيدة رقم 16، البسيط، دِ,كأنها بالفيافي يومَ مطلعها من بطنِ ذاتِ السّنا أخلاق أبرادِ,تشبيه,تشبيه
739,3,كُثير عزة,قصيدة رقم 04، الطويل، لِ,أُريد لأنْسَى ذكرَهافكأنّما تمثّلُ لي ليلى بكُلّ سبيلِ,تشبيه,تشبيه
740,15,الطرماح بن حكيم,قصيدة رقم 30، طويل، مِ,مَعَاشِرُ مِنْ .............فَتَخالُهُمْ صَمِيمًا، ومَا هُمْ عِنْدَنَا بِصَمِيمِ,تشبيه,تشبيه
741,13,الطرماح بن حكيم,قصيدة رقم 30، طويل، مِ,فَإِنْ لَا تَمُتْ حَتَّى تَحُكَّ عَصَاعِصًا نَدِنْمِثْلَهَا في عُقْرِ دَارِ تَمِيمِ,تشبيه,تشبيه
742,7,الفرزدق,قصيدة رقم 381، الطَّويل، لِ,بِهِ فانْزِلُوا فابكُوا عَلَيْهِ فإنّكُمْ وَمِقْرَاهُكَالنّاعي أبَاهُ المُزَايِلِ,تشبيه,تشبيه
743,17,جميل بن معمر,قصيدة رقم 112، منتهى الطلب، طويل، ؤها,وتَبْسِمُ عنْ غُرٍّ عِذابٍكأنَّها أقاحٍ حَكَتْها يَوْمَ دَجْنٍ سَمَاؤها,تشبيه,تشبيه
744,18,جميل بن معمر,قصيدة رقم 112، منتهى الطلب، طويل، ؤها,إذا اندَفَعَتْ تَمْشي الهُوينىكأنَّها قَناةٌ تَعَلَّتْ لِينُها واستِواؤُها,تشبيه,تشبيه
745,1,الكميت بن زيد الأسدي,قصيدة رقم 365، بسيط، ر,ثُمَّ اسْتَمَرَّ تُغَنِّيْهِ الذُّبابُكَما غَنَّى المُقَلِّسُ بِطْرِيْقًا بِمِزْمارِ,تشبيه,تشبيه
746,45,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,وفي الحُقْبِ من أَفْناءِ قَيْسكأنَّهُم بِمُنعَرَجِ الثَّرْثارِ خُشْبٌ عَلَى خُشْبِ,تشبيه,تشبيه
747,10,جميل بن معمر,قصيدة رقم 112، منتهى الطلب، طويل، ؤها,وكمْ لي عليها منْ دُيونٍكثيرَةٍ طَويلٌ تَقاضِيها بَطيءٌ قَضاؤها,تشبيه,تشبيه
748,49,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,لَحَا اللهُ صِرْمًا من كُلَيْبٍكأنَّهم جِداءُ حِجازٍ لاجِئَاتٌ إلى زَرْبِ,تشبيه,تشبيه
749,41,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,عَلَى ابْنِ أَبي العاصِي قُرَيْشٌ تَعَطَّفَتْ لهُ صُلْبُها لَيْسَ الوَشائِظُكالصُّلْبِ,تشبيه,تشبيه
750,37,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,يُطَرِّحْنَ بالثَّغْرِ السِّخالَكأنّما يُشقِّقْنَ بالأَسْلاءِ أَرْدِيَةَ العَصْبِ,تشبيه,تشبيه
751,4,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 41، الوافر، رِ,فَلَمْ أَرَمِثْلَ ما قَطَعَتْ إِلَيْنا مِنَ الظُّلَمِ الحَنادِسِ والصَّحارِي,تشبيه,تشبيه
752,7,كُثير عزة,قصيدة رقم 72، الطويل، رُ,(وهَبهاكشيءٍ لم يكُنْ أوكنازحٍ به الدارُ أو مَنْ غَيّبتْه المَقابر),تشبيه,تشبيه
753,3,كُثير عزة,قصيدة رقم 72، الطويل، رُ,للَيْلى وجاراتٍ للَيْلىكأنّها نِعاجُ المَلا تُحدى بهِنَّ الأباعرُ,تشبيه,تشبيه
754,2,كُثير عزة,قصيدة رقم 63، الطويل، بِ,تُباري حراجيجًا عتاقًاكأنّها شرائجُ معطوفٍ من القُضْبِ مُصْحَبِ,تشبيه,تشبيه
755,3,كُثير عزة,قصيدة رقم 63، الطويل، بِ,إذا ما بلَغنا الجهدَ منها توعبت وضيعُ زمامٍكالحبابِ المسيَّبِ,تشبيه,تشبيه
756,21,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,عَوَادِلَ عُوجًا عَنْ أُناسٍكأَنّما يَرَيْنَ بِهِمْ جَمْعَ الصَّقالِبَةِ الصُّهْبِ,تشبيه,تشبيه
757,24,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,يَحِدْنَ بِنا عَنْ كُلِّ شَيْءٍكأنَّنا أَخارِيسُ عَيُّوا بالسَّلامِ وبالنَّسْبِ,تشبيه,تشبيه
758,11,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,فلَمْ ترَ عَينيمِثلَ مُلْكٍ رَأَيتُهُ أَتاكَ بِلَا طَعْنِ الرِّماحِ ولا ضَرْبِ,تشبيه,تشبيه
759,4,جرير بن عطيّة,قصيدة رقم 156، الوافر، عَا,كأَن الرحل فوق قَرا جَفُول أَقام الماتحان لها الشراعا,تشبيه,تشبيه
760,10,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,بِصُمِّ القَنَى والبِيضُ تُثْنَى عَلَيْهِمِ وهُنَّ بأَيدِي المُستَمِيتِينَكالشُّهْبِ,تشبيه,تشبيه
761,15,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,كأنّ رِحالَ القَوْمِ حِينَ تَرَوَّحَتْ عَلَى قَطَوَاتٍ مِن قَطا عالِجٍ حُقْبِ,تشبيه,تشبيه
762,13,نقائض جرير والأخطل,قصيدة رقم 38، الأخطل، طويل، بِ,جُمالِيَّةٍ لا يملك العِيسُ سَيْرَها إذا رُحْنَ بالرُّكْبانِكالقِيَمِ النُّكْبِ,تشبيه,تشبيه
763,4,الفرزدق,قصيدة رقم 182، البسيط، رِ,مُسْتَقْبِلينَ شَمالَ الشّأمِ تَضْرِبُنا بحاصِبٍكنَديفِ القُطنِ مَنْثُورِ,تشبيه,تشبيه
764,4,أبو النجم العجلي,قصيدة رقم 77، رجز، انِ,كَأَنَّهَا إِذْ ضُمَّ مِنْهَا النِّسْعَانِ,تشبيه,تشبيه
765,1,ذو الرمة,قصيدة رقم 206، المنسرح، ما,فأَصبحَتْ بعدَ خطِّ بهجتِهاكأَنَّ قَفرًا رسومُها قلما,تشبيه,تشبيه
766,17,عمر بن أبي ربيعة,قصيدة رقم 215، منتهى الطلب، متقارب، رْ,لَهُ مَيْعَةٌكاضْطرامِ الحريـ ـقِ في العِيصِ والأجَمِ المُسْتَعِرْ,تشبيه,تشبيه
767,19,عمر بن أبي ربيعة,قصيدة رقم 215، منتهى الطلب، متقارب، رْ,وتَبْقَى سَنابِكهُ بالفلاةِكمثْلِ الدُّوادِي لَدَى مُحْتَفِرْ,تشبيه,تشبيه
768,5,عبد الله بن عمر العرجي,قصيدة رقم (54)، الطّويل، عُ.,كأنِّي لِذِكْراهَا إذا اللَّيْلُ جَنَّنِي أَسِيرُ عَدُوٍّ أَسْهَرَتْهُ الْجَوَامِعُ,تشبيه,تشبيه
769,2,الطرماح بن حكيم,قصيدة رقم 28، طويل، مُها,تُوَافِي غُرُوبَ الشَّمْسِ في كُلِّ لَيْلَةٍكَشَنِّ شَعِيبٍ لَمْ تُسَدَّدْ هُزُومُها,تشبيه,تشبيه
770,18,عمر بن أبي ربيعة,قصيدة رقم 384، الكامل، نا,هذا وذنْبٌ قبلَ ذاكَ جنيْتَهُ سلّ الفؤادَومثلُهُ سلّانا,تشبيه,تشبيه
771,11,جرير بن عطيّة,قصيدة رقم 236، منتهى الطلب، طويل، مِ,ظَلِلْنا بِمُسْتَنِّ الحَرُورِكأنَّنا لَدَى فَرَسٍ مُسْتَقْبِلِ الرِّيحِ صائِمِ,تشبيه,تشبيه
772,54,جرير بن عطيّة,قصيدة رقم 236، منتهى الطلب، طويل، مِ,وفَيْناكما أدَّتْ رَبِيعَةُ خالِدًا إلى قَوْمِهِ حَرْبًا وإن لَمْ يُسالِمِ,تشبيه,تشبيه
773,52,جرير بن عطيّة,قصيدة رقم 236، منتهى الطلب، طويل، مِ,بأيّامِ قَوْمِي ما لِقَوْمِكَمِثْلُهُمْ بها سَهَّلُوا عَنِّي خَبارَ الجَراثِمِ,تشبيه,تشبيه
774,55,جرير بن عطيّة,قصيدة رقم 236، منتهى الطلب، طويل، مِ,هُوَ القَيْنُ وابْنُ القَيْنِ لاقَيْنَمِثْلَهُ لِفَطْحِ المساحِي أو لِجَدْلِ الأداهِمِ,تشبيه,تشبيه
775,3,الفرزدق,قصيدة رقم 66، الطويل، بِ,رُقَيْعِيّةٌ خُورٌكَأنّ مَخَاضَهَا عِظَامُ قُرُومٍ أوْ جِبَالٍ رَوَاسِبِ,تشبيه,تشبيه
