#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
136,2,ابن هانئ الأندلسيّ,قصيدة رقم (35)، البسيط، رُ.,كأنّما مَسَحَ القَينُ الجريُّ بهِ كفًّا وقد نهشتهُ حيّة ٌ ذكرُ,تشبيه,تشبيه
137,1,ابن هانئ الأندلسيّ,قصيدة رقم (35)، البسيط، رُ.,وذي نِجادٍ هِرَقْلّيٍ يُشَرِّفُهُكأنّهُ أجلٌ يسطو بهِ قدرُ,تشبيه,تشبيه
138,1,ابن هانئ الأندلسيّ,قصيدة رقم (66)، الطّويل، لُ.,وأبْيَضَ من ماءِ الحديدِكأنّما يبيتُ عليه من خشونتهِ طلُّ,تشبيه,تشبيه
139,3,ابن هانئ الأندلسيّ,قصيدة رقم (58)، الخفيف، كِ.,لا يُرَعْ للمها بذلك سربٌ فلقدأشبهتكِ إن لم تكُنكِ,تشبيه,تشبيه
140,15,ابن هانئ الأندلسيّ,قصيدة رقم (77)، البسيط، مِ.,كأنّهُ صنمٌ من بعدِ فطنتهِ وما التنفُّسُ معهودٌ منَ الصّنمِ,تشبيه,تشبيه
141,33,ابن اللبانة الداني,قصيدة رقم 70، كامل، ل,غُدُر الحديد عليهموكأنما بأكفهم للمرهفات جداول,تشبيه,تشبيه
142,5,ابن اللبانة الداني,قصيدة رقم 57، خفيف، فا,حجب البيت منك شخصًا كريمًامثلما تحجبُ الدنانُ السلافا,تشبيه,تشبيه
143,28,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ خلاخِيلَ المطايا إذا غدتْ تَجَاوَبُ أصْداءُ الفَلا تترّجّعُ,تشبيه,تشبيه
144,23,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ العِتاقَ الجُرْدَ مجْنوبَة ً لَهُ ظباءٌ ثنتْ أجيادَها وهي تتلعُ,تشبيه,تشبيه
145,22,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ أنابيبَ الصِّعادِ أراقمٌ تَلَمَّظُ في أنيابِها السّمُّ مُنقعُ,تشبيه,تشبيه
146,21,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ السّيوفَ المُصْلَتاتِ إذا طَمَتْ على البرِّ بحرٌ زاخرُ اليمِّ مُترَعُ,تشبيه,تشبيه
147,20,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ ظِلالَ الخافِقاتِ أمامَهُ غمائِمُ نَصْرِ الله لا يَتَقَشَّعُ,تشبيه,تشبيه
148,27,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ صِعابَ البُختِ إذ ذُلِّلَتْ لهُ أسارى ملوكٍ عضَّها القِدُّ صرعُ,تشبيه,تشبيه
149,26,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ سِراعَ البَخت تنشر أمنهُ على البيدِ آلٌ في الضّحى تترفّعُ,تشبيه,تشبيه
150,24,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,كأنّ الكماة َ الصّيدَ لمّا تغشرمتْ حواليهِ أسدُ الغيلِ لا تتكعكعُ,تشبيه,تشبيه
151,6,ابن هانئ الأندلسيّ,قصيدة رقم (1)، الرّجز، ءُ.,وغدتْ مُمنَّعة َ القبابِكأنَّها بين الحِجالِ فريدةٌ عصماءُ,تشبيه,تشبيه
152,7,ابن هانئ الأندلسيّ,قصيدة رقم (1)، الرّجز، ءُ.,حُجِبَتْ ويُحجَبُ طيفُهافكأنَّما منهم على لحظاتِها رقباءُ,تشبيه,تشبيه
153,2,ابن هانئ الأندلسيّ,قصيدة رقم (1)، الرّجز، ءُ.,ما للمهارى النّاجياتِكأنَّها حتمٌ عليها البَينُ والعدواءُ,تشبيه,تشبيه
154,2,ابن هانئ الأندلسيّ,قصيدة رقم (40)، البسيط، شَ.,كأنّ أفعى سقتْ فولاذهُ حمةً وألبست جلدهُ من وشيها نمشا,تشبيه,تشبيه
155,4,ابن اللبانة الداني,قصيدة رقم 90، كامل، انِ,أنا مثلُ مرآةٍ صقيلٍ صفحُها ألقى الوجوهَبمثلِ ما تلقاني,تشبيه,تشبيه
156,11,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّ في فكّهِ أيتامَ أرملةٍ أو باكياتٍ عليهنّ التَّبابينُ,تشبيه,تشبيه
157,13,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّما كُلُّ ركْنٍ من طَبائِعِهِ نارٌ وفي كلّ عضوٍ منهُ كانونُ,تشبيه,تشبيه
158,12,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّما ينتقي العظمَ الصّليبَ لهُ من تحتِ كلّ رَحًى فِهْرٌ وهاوونُ,تشبيه,تشبيه
159,14,ابن هانئ الأندلسيّ,قصيدة رقم (82)، البسيط، نُ.,كأنّما في الحشا من خملِ معدتهِ قرنفلٌ وجواريشٌ وكمّونُ,تشبيه,تشبيه
160,2,ابن اللبانة الداني,قصيدة رقم 81، كامل، م,شاهدتهوكأنه من روضةٍ وكأنني من طائرٍ مترنم,تشبيه,تشبيه
161,18,ابن اللبانة الداني,قصيدة رقم 46، كامل، ضا,خفقت عليه رايةٌ وذؤابةٌفكأنّ صِلًّا نحوَ صلٍّ نَضْنَضا,تشبيه,تشبيه
162,3,ابن اللبانة الداني,قصيدة رقم 53، كامل، عه,والآن لاحظٌّ لنافكأنما وقفت مجاري الرزق ساعةَ خلعه,تشبيه,تشبيه
163,54,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,و أضحى مردًّا بالنّجاةِكأنّهُ هزبْرُ عرينٍ ضمّ جنبيهِ أشجعُ,تشبيه,تشبيه
164,57,ابن هانئ الأندلسيّ,قصيدة رقم (46)، الطّويل، عُ.,و عبَّ عبابَ الموكبِ الفخم حولهُ وزَفَّكما زُفّ الصّباحُ المُلَمَّعُ,تشبيه,تشبيه
165,8,ابن هانئ الأندلسيّ,قصيدة رقم (59)، الكامل، كِ.,حسبوا التّكحُّلَ في جفونكِ حليةً تاللهِ ما بأكفّهِم كحلوكِ,تشبيه,تشبيه
166,31,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,إلى كُلّ عَرّاصِ الكُعوبِكأنّه نوى القسبِ إلّا أنّهُ ليس يرضخُ,تشبيه,تشبيه
167,38,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,قريتمْ سباعَ الأرض في كلّ معركٍكأنّ القنا فيه طهاة ٌ وطبَّخُ,تشبيه,تشبيه
168,37,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,وكنتُمْ إذا ما ماجَ عُثنونُ قسطلٍكما اغبرّ مجهولُ المخارم سربخُ,تشبيه,تشبيه
169,23,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,كما التهبتْ في ناظرِ البرقِ شعلة ٌ تلقَّى سَناها من فمِ الرّيح منفَخُ,تشبيه,تشبيه
170,26,ابن هانئ الأندلسيّ,قصيدة رقم (16)، الطّويل، خُ.,يرى الفجرَ منها تحتَ ليلٍ مسبَّجٍكأنّ حدادًا فيهِ بالنِّقسِ يلطخُ,تشبيه,تشبيه
171,4,ابن اللبانة الداني,قصيدة رقم 41، كامل، رِ,هزت بنعمة لفظها نفسيكما هزت بذكراه أعالي المنبر,تشبيه,تشبيه
172,3,ابن اللبانة الداني,قصيدة رقم 41، كامل، رِ,وتكلمتْفكأن طيب حديثها متعت منه بطيب مسك أذفر,تشبيه,تشبيه
173,6,ابن اللبانة الداني,قصيدة رقم 41، كامل، رِ,جادت عليّ بوصلهافكأنه جدوى يديه على المقل المُقتر,تشبيه,تشبيه
174,2,ابن اللبانة الداني,قصيدة رقم 41، كامل، رِ,وتبسمت عن جوهرفحسبته ما قلدته محامدي من جوهر,تشبيه,تشبيه
175,1,ابن اللبانة الداني,قصيدة رقم 41، كامل، رِ,وضحت وقد فضحت ضياء النّيرفكأنما التحفت ببشر مُبشّرِ,تشبيه,تشبيه
176,1,ابن هانئ الأندلسيّ,قصيدة رقم (67)، البسيط، لِ.,لي صارمٌ وهو شيعيٌّكحامِلِهِ يكادُ يسبِقُ كَرّاتي إلى البَطَلِ,تشبيه,تشبيه
177,6,ابن اللبانة الداني,قصيدة رقم 79، كامل، مُ,قد رشتني سهمًا فرشني طائرًاوكما نفدتُ فإنني أترنم,تشبيه,تشبيه
178,10,ابن اللبانة الداني,قصيدة رقم 9، متقارب، بُ,وعَبَّس وهو ندٍ مشرقٌكما ضحك العارض الأشنب,تشبيه,تشبيه
179,5,ابن اللبانة الداني,قصيدة رقم 58، سريع، اق,والقُضْبُ تثنيها الصَّبامثلما تعانقَ الأحبابُ يوم الفراق,تشبيه,تشبيه
180,3,ابن اللبانة الداني,قصيدة رقم 68، كامل، لا,وكأنما في الردف منه مباسمٌ تبغي هناك لوجههِ تقبيلا,تشبيه,تشبيه
181,8,ابن هانئ الأندلسيّ,قصيدة رقم (52)، البسيط، قُ.,تأتي عطاياهُ شتّى غيرَ واحدة ٍكما تَدافَعَ موج البحرِ يَصْطفِقُ,تشبيه,تشبيه
182,61,ابن هانئ الأندلسيّ,قصيدة رقم (86)، المتقارب، ا.,فجئتَكما شئتَ من جانبَيك فأنتَ الحياة ُ وأنتَ الرّدى,تشبيه,تشبيه
183,60,ابن هانئ الأندلسيّ,قصيدة رقم (33)، الطّويل، رَ.,كأنَّكَ شاهدتَ الحفايا سوافرا وأعجلتَ وجهَ الغَيبِ أن يتَستَّرا,تشبيه,تشبيه
184,42,ابن هانئ الأندلسيّ,قصيدة رقم (42)، الكامل، صِ.,وإذا استكانَ منَ النّوَى وعذابِها فإلى لسانٍ في الثّناءكمترصِ,تشبيه,تشبيه
185,43,ابن هانئ الأندلسيّ,قصيدة رقم (42)، الكامل، صِ.,صنعٌ يؤلَّفُ من نظامِكواكبٍ طلعتْ لغيرِ كثيّرٍ والأحوصِ,تشبيه,تشبيه
186,24,ابن هانئ الأندلسيّ,قصيدة رقم (4)، الكامل، بَ.,قمْ فاخترطْ لي منْ حواشي لحظهِ سيفًا يكونُكما علمتَ مجرَّبا,تشبيه,تشبيه
187,21,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,وهو الغمامُ يصوبُ فيه حياتنا لاكالغمام المستهلّ دلوحا,تشبيه,تشبيه
188,26,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,وصلوا أسًى بعليلِ تذكارٍكما وصَل النّشاوَى بالغَبوق صَبوحا,تشبيه,تشبيه
189,43,ابن هانئ الأندلسيّ,قصيدة رقم (59)، الكامل، كِ.,لاقيتَ كلَّكتيبةٍ وفللتَ كلَّ ضريبةٍ وألنتَ كلَّ عريكِ,تشبيه,تشبيه
190,41,ابن هانئ الأندلسيّ,قصيدة رقم (4)، الكامل، بَ.,وكأنّما طبعوا لهُ من لحظهِ سَيفًا رَقيقَ الشّفرتينِ مُشَطَّبا سَيفًا رَقيقَ الشّفرتينِ مُشَطّبا,تشبيه,تشبيه
191,6,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,وكأنّ طَيْفًا ما اهتَدى فبعثْتُم مِسكَ الجنوب الرَّدْعَ منه بَديلا,تشبيه,تشبيه
192,45,ابن هانئ الأندلسيّ,قصيدة رقم (4)، الكامل، بَ.,أنظرْ إليهِكأنّهُ متنصّلٌ بجفونِهِ ولقد يكون المذنبا,تشبيه,تشبيه
193,2,ابن هانئ الأندلسيّ,قصيدة رقم (61)، الكامل، لَ.,نَثَرَتْ نَدَى أنفاسِهافكأنّها نَثرَتْ حِبالاتِ الدُّموعِ هُمولا,تشبيه,تشبيه
194,46,ابن هانئ الأندلسيّ,قصيدة رقم (4)، الكامل، بَ.,وكأنّ صفحة َ خَدّهِ وعذارهِ تُفّاحة ٌ رُمِيَتْ لتَقْتُلَ عَقربا,تشبيه,تشبيه
195,23,ابن اللبانة الداني,قصيدة رقم 74، طويل، ما,ولم يصدع النقع المثار سنانهكما صَدَعَ الظلماءَ برقٌ تضر ما,تشبيه,تشبيه
196,24,ابن اللبانة الداني,قصيدة رقم 74، طويل، ما,ولا صورت في جسمه الدرع شكلهافأشبه مما صوّرت فيه أرقما,تشبيه,تشبيه
197,55,ابن هانئ الأندلسيّ,قصيدة رقم (3)، الطّويل، بُ.,وحسبيَ ممّا كانَ أو هو كائنٌ دليلان علم بالالهِ وتجريبُ,تشبيه,تشبيه
198,53,ابن هانئ الأندلسيّ,قصيدة رقم (3)، الطّويل، بُ.,وعزمٌ بظلُّ الخافقينكأنّه على أُفُقِ الدّنْيا بِناءٌ وتطنيبُ,تشبيه,تشبيه
199,21,ابن اللبانة الداني,قصيدة رقم 74، طويل، ما,ولم تخفقِ الراياتُ فيهافأشبهتْ قوادمَ طيرٍ في ذُرى الجو حُوّما,تشبيه,تشبيه
200,3,ابن هانئ الأندلسيّ,قصيدة رقم (79)، الكامل، نُ.,المشرقاتُكأنّهنّ كواكبٌ و النّاعماتُ كأنّهنَ غُصونُ,تشبيه,تشبيه
201,5,ابن هانئ الأندلسيّ,قصيدة رقم (65)، الكامل، لُ.,فكأنّما يومٌ ليومٍ طاردٌوكأنّما دهرٌ لدهرٍ آكلُ,تشبيه,تشبيه
202,22,ابن هانئ الأندلسيّ,قصيدة رقم (69)، الطّويل، مِ.,ويَمّمْتُ في طُرْقِ الجيادِ سبيلَهم لأصْليكما يَصْلَونَ نفحَ السّمائِمِ,تشبيه,تشبيه
203,9,ابن اللبانة الداني,قصيدة رقم 71، كامل، لُ,شفقٌ وشارقةٌ لديه ورقّةٌفكأنما هو بكرةٌ وأصيل,تشبيه,تشبيه
204,21,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,وكالمشرفيِّ العضب يندى غرارهوكالعارض الوسميّ ينهلُّ مغدقهْ,تشبيه,تشبيه
205,22,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,وكالكوكب الدريّ يحمد في الوغى تألُّقُ بيض المرهفاتِ تألُّقُهْ,تشبيه,تشبيه
206,2,ابن هانئ الأندلسيّ,قصيدة رقم (68)، البسيط، لُ.,يَشيعُ لهُ الإفْرِنْدُ دَمعًاكأنّما تذكّرَ يومَ اللّطفِ فهو يسيلُ,تشبيه,تشبيه
207,30,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,لهُ هاجِسٌ يَفْري الفَرِيَّكأنّهُ شبا مشرفيٍّ ليسَ ينبو مذلِّقهْ,تشبيه,تشبيه
208,9,ابن هانئ الأندلسيّ,قصيدة رقم (26)، الطّويل، رِ.,إذا ذكَرتْهُ النّفسُ جاشتْ لذكرهِكما عثَرَ السّاقي بكأسٍ من الخمْرِ,تشبيه,تشبيه
209,42,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,تتجاوبُ الدّنْيا لديهم مأتَمًافكأنّما صبّحتهم تصبيحا,تشبيه,تشبيه
210,43,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,لَبِسوا معايبهم ورزْءَ فقيدِهمكاللّابسات على الحِدادِ مُسوحا,تشبيه,تشبيه
211,46,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,فكأنّ جَدّكَ في فوارسِ هاشِمٍ منهمْ بحيثُ يرى الحسينَ ذبيحا,تشبيه,تشبيه
212,39,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,فكأنّما فَغَرَتْ إليهِ جَهَنّمٌ منهنّ أو كلحتْ إليهِ كلوحا,تشبيه,تشبيه
213,63,ابن هانئ الأندلسيّ,قصيدة رقم (3)، الطّويل، بُ.,أراني إذا ما قلت بيتًا تنكّرتْ وجوهٌكما غشَّى الصّحائفَ تتريبُ,تشبيه,تشبيه
214,63,ابن هانئ الأندلسيّ,قصيدة رقم (4)، الكامل، بَ.,أخلاقنا حتّىكأنَّ ربيعةً من قبل يعربَ كان عاقد يشجبا,تشبيه,تشبيه
215,17,ابن هانئ الأندلسيّ,قصيدة رقم (22)، الطّويل، دُ.,معَ الفلك الدَّوّار لا هيَ كوكبٌ ولا هي مماتشبهُ الرَّيدُ والفندُ,تشبيه,تشبيه
216,29,ابن اللبانة الداني,قصيدة رقم 74، طويل، ما,تضيقُ عليّ الأرضُ حتىكأنما خُلقتُ وإياها سِوارًا ومِعصما,تشبيه,تشبيه
217,49,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,وقد عمَّ من في ذلك الثّغرِ نائلًاكما افترقتْ تهمي من المزن فرَّقهْ,تشبيه,تشبيه
218,48,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,ويعبَقُ ذاك التُّرْب من أوجُه الدّجىكما فاحَ من نشرِ الأحبّة ِ أعبقهْ,تشبيه,تشبيه
219,47,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,يطيبُ نسيمُ الزّابِ من طيبِ ذكرهِكما فتّقَ المسكَ الذّكيَّ مفتِّقهْ,تشبيه,تشبيه
220,35,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,فكأنّما مَلَكَ القضاءَ مُقدِّرًافكأنّما مَلَكَ القضاءَ مُقدِّرًا في كلّ أوبٍ والحمامَ متيحا في كلّ أوبٍ في الحِمام متيحا,تشبيه,تشبيه
221,36,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,وقاك هيبة ذي الفقارِكأنّما وشَّحتهُ بنجادهِ توشيحا,تشبيه,تشبيه
222,53,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,وبالمغرب الأقصَى قَريعُكتائبٍ يخبُّ بمسراهُ فيرجفُ مشرقهْ,تشبيه,تشبيه
223,40,ابن هانئ الأندلسيّ,قصيدة رقم (22)، الطّويل، دُ.,كأنَّ عليهم منك عنقاءَ تعتلي فليس لها ممَّن تخطّفهُ بدُّ,تشبيه,تشبيه
224,2,ابن اللبانة الداني,قصيدة رقم 54، كامل، فا,وكأنما مُنحَ السماءَ صحيفة والليلَ حبرًا والكواكبَ أحرُفا,تشبيه,تشبيه
225,61,ابن هانئ الأندلسيّ,قصيدة رقم (51)، الطّويل، قُ.,وما كحميدِ القولِ ينمى مزيدهُ ولاكاليَدِ البيضاءِ عندي تحقّقُهْ,تشبيه,تشبيه
226,39,ابن هانئ الأندلسيّ,قصيدة رقم (22)، الطّويل، دُ.,كأنّكَ وكَّلتَ السّحابَ بحربهم فمن عارضٍ يُمسي ومنْ عارضٍ يغدُو,تشبيه,تشبيه
227,38,ابن هانئ الأندلسيّ,قصيدة رقم (22)، الطّويل، دُ.,كأنَّ لهمْ من حادث الدّهرِ سائِقًا يسوقهمُ أو حاديًا بهمِ يحدو,تشبيه,تشبيه
228,56,ابن هانئ الأندلسيّ,قصيدة رقم (13)، الكامل، حَ.,أخشاكَ ينسي الشّمسَ مطلعهاكما أنسى الملائكَ ذكرُكَ التّسبيحا,تشبيه,تشبيه
229,4,ابن اللبانة الداني,قصيدة رقم 69، متقارب، لا,جرحتُ لديك وكنتُ البريءكما يجرحُ اللحظُ خدًّا أسيلا,تشبيه,تشبيه
230,8,ابن اللبانة الداني,قصيدة رقم 69، متقارب، لا,تكلفت فيها سوادَ الخُطوبفأشبهَ عنديَ طَرفا كحيلا,تشبيه,تشبيه
231,11,ابن هانئ الأندلسيّ,قصيدة رقم (86)، المتقارب، ا.,على أنّمِثلي رحيبُ اللَّبانِ على ما ينوبُ سليمُ الشّظى,تشبيه,تشبيه
232,36,ابن هانئ الأندلسيّ,قصيدة رقم (80)، الكامل، نِ.,لم يشْفَ جهْدُ القولِ منْهُ وإنّني رَهْنٌ بهِ وكفيلُهُكرهِينِهِ,تشبيه,تشبيه
233,5,ابن هانئ الأندلسيّ,قصيدة رقم (31)، الوافر، رِ.,ونجم اللّيلِ يركض في الدّياجيكأنّ الصّبح يطلبهُ بثارِ,تشبيه,تشبيه
234,2,ابن هانئ الأندلسيّ,قصيدة رقم (31)، الوافر، رِ.,كأنّ حبابَها خرزاتُ دُرٍّ علت ذهبًا بأقداح النّضارِ,تشبيه,تشبيه
235,6,ابن هانئ الأندلسيّ,قصيدة رقم (86)، المتقارب، ا.,ومنْ ليبمثلِ سلاح الزّمانِ فأسْطو عليه إذا ما سطا,تشبيه,تشبيه
236,27,ابن هانئ الأندلسيّ,قصيدة رقم (80)، الكامل، نِ.,يَسري به لجِبٌكأنّ زهاءَهُ آذِيُّ بحْرٍ يَرتَمي بسفينِهِ,تشبيه,تشبيه
237,19,ابن هانئ الأندلسيّ,قصيدة رقم (87)، البسيط، يِ.,ولو تَراهُ غَدا بالصّقْرِأشْبهَ مِنْ جوانحي بقَطًا في الجَوّ كُدْريِّ,تشبيه,تشبيه
238,21,ابن هانئ الأندلسيّ,قصيدة رقم (87)، البسيط، يِ.,وكالسَّنانِ الّذي يهتَزُّ في يَدِهِومثلِ أجدَلِهِ الصّقرِ القُطاميِّ,تشبيه,تشبيه
239,53,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,ذا أهرتٌكشدوقِ الأسد قد رجعت زأرًا وهذا غموسكالأخاديدِ,تشبيه,تشبيه
240,55,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,وقائعٌ كظمتهُ فانثنى خرسًاكأنّما كَعَمَتْ فاهُ بجلمودِ,تشبيه,تشبيه
241,31,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,قد كنتُأحسبُني تَقَصّيتُ الوَرى وبَلَوْتُ شِيعَة َ أهلِ كلِّ زَمانِ,تشبيه,تشبيه
242,80,ابن هانئ الأندلسيّ,قصيدة رقم (63)، البسيط، لِ.,إذا نَظَرْتَ إليْه نَظْرَة ً دَفَعَتْ إليكشبهك في الأشْباهِ لم يفِلِ,تشبيه,تشبيه
243,46,ابن هانئ الأندلسيّ,قصيدة رقم (87)، البسيط، يِ.,كأنّما حَلَقاتُ الدّرْعِ يوْمئِذٍ على قُراسِيَّةٍ بالقاعِ مطْلِيِّ,تشبيه,تشبيه
244,45,ابن هانئ الأندلسيّ,قصيدة رقم (87)، البسيط، يِ.,وقد دُعيتَ إلى الهيجا فجِئتَكما جأجأتَ للوِردِ بالفحلِ العزيزيِّ,تشبيه,تشبيه
245,82,ابن هانئ الأندلسيّ,قصيدة رقم (63)، البسيط، لِ.,كما رأى الملكُ المنصورُ شيمتهُ تَبدو عليك من المنصور قبل تَلي,تشبيه,تشبيه
246,44,ابن هانئ الأندلسيّ,قصيدة رقم (87)، البسيط، يِ.,أبقَيتَ منهم وقد رَدُّوا جيادَهُم بجائِشاتٍكأفواهِ البَخاتيِّ,تشبيه,تشبيه
247,66,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,خضنَ الظّلامِ إليهِ ثمّ اجتبنهُ ومَرَقنَ من سِجفَيْهِكالحُسبانِ,تشبيه,تشبيه
248,74,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,كأنَّ حلمكَ أرسى الأرض أو عقدتْ بهِ نواصي ذرى اعلامها القودِ,تشبيه,تشبيه
249,10,ابن هانئ الأندلسيّ,قصيدة رقم (53)، الرّجز، قِ.,أشْبَهَ شيءٍ قَدَحًا بريقِ يَسْعى بجيدٍ في الهوى ممشوقِ,تشبيه,تشبيه
250,13,ابن هانئ الأندلسيّ,قصيدة رقم (53)، الرّجز، قِ.,ويَغْرِسُ اللّؤلُؤَ في العَقِيقِكأنّ درَّ ثغرهِ الأنيقِ,تشبيه,تشبيه
251,51,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,فكَأنّ دينَكَ يوْمَ أرْدى كُفرَهُ أجلٌ بطشتَ لهُ بعمرٍ ثانِ,تشبيه,تشبيه
252,15,ابن هانئ الأندلسيّ,قصيدة رقم (53)، الرّجز، قِ.,ما زلتُ أسقي غيرَ مستفيقِ حتّى رأيتُ النّجمَكالغريقِ,تشبيه,تشبيه
253,52,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,وكأنّ أسرابَ الجيادِ ضحى وقد خفّت إليهِ كواسرُ العقبانِ,تشبيه,تشبيه
254,53,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,عطَفَتْ علَيهِ صدورَهافكأنّها عَطَفَتْ على كِسرى أنُو شروانِ,تشبيه,تشبيه
255,54,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,فكأنّما البرّاضُ صبّحَ أهلهُوكأنّهنّ هجائنُ النّعمانِ,تشبيه,تشبيه
256,57,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,فأتَى جُيوشَكَ إذْ أتَتْهُكأنّهُ ركضًا إليهِ طالبٌ لرهانِ,تشبيه,تشبيه
257,19,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,عُصِمت جَوارِحُهم منَ العدوَىكما وُقيتْ جوانحهم منَ الأضعانِ,تشبيه,تشبيه
258,40,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,كأنَّها في الذّرى سحقٌ مكمَّمةٌ من كلّ مخضودِ أعلى الضلع منضودِ,تشبيه,تشبيه
259,43,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,كأنّ أرماحهم تتلو اذا هزجت زابورَ داودَ في محرابِ داودِ,تشبيه,تشبيه
260,47,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,كأنّما بادرت منها ملوكهم مصارعُ القتل أو جاؤوا بموعودِ,تشبيه,تشبيه
261,3,ابن اللبانة الداني,قصيدة رقم 46، كامل، ضا,والتفَّ في حبراتهفحسبتُها من فوق عطفيه رداءً فضفضا,تشبيه,تشبيه
262,22,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,يَغشَوَنَ ناديَ أفْلحٍوكأنّما يغشونَ ربَّ التّاجِ من عدنانِ,تشبيه,تشبيه
263,23,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,حيُّوا جلالة َ قدرهِفكأنّما حيُّوا أمينَ اللّهِ في الإيوانِ,تشبيه,تشبيه
264,24,ابن هانئ الأندلسيّ,قصيدة رقم (81)، الكامل، نِ.,يردونَ جمّة َ علمهِ ونوالهِفكأنَّهمْ حيثُ التقى البحرانِ,تشبيه,تشبيه
265,7,ابن هانئ الأندلسيّ,قصيدة رقم (3)، الطّويل، بُ.,إذا لم أذُدْ عن ذلك الماءِ وردَهمْ وإنْ حَنّ وُرّادٌكما حنّتِ النِّيبُ,تشبيه,تشبيه
266,8,ابن هانئ الأندلسيّ,قصيدة رقم (42)، الكامل، صِ.,ويميلُ قمتهُ النّعاسُكأنَّهُ في أُخرياتِ اللّيلِ ذِفرَى أوقصِ,تشبيه,تشبيه
267,33,ابن هانئ الأندلسيّ,قصيدة رقم (17)، البسيط، دِ.,طعنٌ يكوّرُ هذا في فريسةِ ذاكأنَّ في كلّ شلو بطنَ ملحودِ,تشبيه,تشبيه
268,3,ابن اللبانة الداني,قصيدة رقم 72، طويل، لِ,وحسبك عند اللهحسبتك التي دعت شدة التقوى إلى كرم الفعل,تشبيه,تشبيه
269,2,ابن اللبانة الداني,قصيدة رقم 72، طويل، لِ,تخالهم رجل الجراد فعندما دلفت لهم طاروا بأجنحة النمل,تشبيه,تشبيه
