tashbeeh_word,poem,poem_without_tashbeeh
كأَنّما,حتَّى استفقت أخيرًا بعدما نُكِحَتْ كأَنّما كان ذاكَ القلب حَيْرانا,حتَّى استفقت أخيرًا بعدما نُكِحَتْ  كان ذاكَ القلب حَيْرانا
كأَنّما,وعُقارٍ كأَنّما يُتعاطى في كؤوس اللُّجين منها سِراجا,وعُقارٍ  يُتعاطى في كؤوس اللُّجين منها سِراجا
كأَنّما,كأَنّما الشَّرْبُ بعد هدٍّ صَرْعَى تمادى بهم كَلالُ, الشَّرْبُ بعد هدٍّ صَرْعَى تمادى بهم كَلالُ
كأَنّما,يهُبّ شَوْقي وشَوْقُهنّ معًا كأَنّما يستخِفّنا طَرَبُ,يهُبّ شَوْقي وشَوْقُهنّ معًا  يستخِفّنا طَرَبُ
كأَنّما,فقام والنَّوْمُ في المَآقي كأَنّما مسّه خَبالُ,فقام والنَّوْمُ في المَآقي  مسّه خَبالُ
كأَنّمَا,كأَنّمَا الزَّهْرةُ في كَفّه أَو شُعْلةٌ من ضَوْءِ مِصْباحِ, الزَّهْرةُ في كَفّه أَو شُعْلةٌ من ضَوْءِ مِصْباحِ
كأَنّمَا,كأَنّمَا الشَمْسُ عند مَطْلَعها دبّتْ فخرّتْ في كَأْسها تسبَحْ, الشَمْسُ عند مَطْلَعها دبّتْ فخرّتْ في كَأْسها تسبَحْ
كأَنّمَا,وأَن أَملِك الخُودَ الكِعابَ كأَنّمَا أَهال عليها حُسْنَها القَمَرُ البَدْرُ,وأَن أَملِك الخُودَ الكِعابَ  أَهال عليها حُسْنَها القَمَرُ البَدْرُ
كأَنّمَا,فأَرسلتْ من فَمِ الإِبْريق صافيةً كأَنّمَا أَخْذُها بالعَيْن إِغفاءُ,فأَرسلتْ من فَمِ الإِبْريق صافيةً  أَخْذُها بالعَيْن إِغفاءُ
كأَنَّما,كأَنَّما وأُصْفِي مِنْ ((بُرْغُوثَ)) سَبْيٌ عَقَابِيلُ أَسْرَابِ الظِّبَاءِ عَقَابِلُهْ, وأُصْفِي مِنْ ((بُرْغُوثَ)) سَبْيٌ عَقَابِيلُ أَسْرَابِ الظِّبَاءِ عَقَابِلُهْ
كأَنَّما,ضِرامَ نارٍ طار من لُهابِها كأَنَّما النِّمْرةَ في اقترابِها,ضِرامَ نارٍ طار من لُهابِها  النِّمْرةَ في اقترابِها
كأَنَّما,كأَنَّما في الزَّوْر والتَّرائبِ منه وتحت منحنَى المَناكِبِ, في الزَّوْر والتَّرائبِ منه وتحت منحنَى المَناكِبِ
كأَنَّما,كأَنَّما يُدهَن بالزِّرْيابِ فبينما نحن به في الغابِ, يُدهَن بالزِّرْيابِ فبينما نحن به في الغابِ
كأَنَّما,تَصَعَّدُ في بَطْحَاءِ عِرْقٍ كأَنَّما تَرَقَّى إِلى أَعْلَى أَرِيكٍ بِسُلَّمِ,تَصَعَّدُ في بَطْحَاءِ عِرْقٍ  تَرَقَّى إِلى أَعْلَى أَرِيكٍ بِسُلَّمِ
كأَنَّما,وشَوْكتان خُصَّتا بحَدِّ كأَنَّما كَفَّاه عند الوَخْدِ,وشَوْكتان خُصَّتا بحَدِّ  كَفَّاه عند الوَخْدِ
كأَنَّما,كأَنَّما يطرِف من بين الهُدُبْ بجَمْرتَيْ نار بكفِّ محتطِبْ, يطرِف من بين الهُدُبْ بجَمْرتَيْ نار بكفِّ محتطِبْ
كأَنَّما,أَنابيشُ في أَيدي الجِمالِ كأَنَّما يَعَضُّ بها أَعلى فراسِنِها النَّمْلُ,أَنابيشُ في أَيدي الجِمالِ  يَعَضُّ بها أَعلى فراسِنِها النَّمْلُ
كأَنَّما,[ أَطاعَتْ بكَ الواشينَ حتى كأَنَّما كلامُكَ إِياها عليكَ حَرامُ],[ أَطاعَتْ بكَ الواشينَ حتى  كلامُكَ إِياها عليكَ حَرامُ]
كأَنَّما,ملتهِبًا يستنّ في أَلهابِهِ كأَنَّما البَيْداءُ من نِهابِهِ,ملتهِبًا يستنّ في أَلهابِهِ  البَيْداءُ من نِهابِهِ
كأَنَّمَا,إِذا زَارَهُ يَوْمًا صَدِيقٌ كأَنَّمَا يَرَى أَسَدًا فِي بَيْتِهِ وأَسَاوِدَا,إِذا زَارَهُ يَوْمًا صَدِيقٌ  يَرَى أَسَدًا فِي بَيْتِهِ وأَسَاوِدَا
كأَنَّمَا,وَرُعْنَ بِنا قَلْبَ الفُراتِ كأَنَّمَا تَخِرُّ عَلَيْهِ بالرّجالِ سُيُولُ,وَرُعْنَ بِنا قَلْبَ الفُراتِ  تَخِرُّ عَلَيْهِ بالرّجالِ سُيُولُ
كأَنَّمَا,فماحَتْ به غُرَّ الثَّنايَا كأَنَّمَا جَلَتْ بِنَضيرِ الخُوطِ دُرًّا مُنَظَّما,فماحَتْ به غُرَّ الثَّنايَا  جَلَتْ بِنَضيرِ الخُوطِ دُرًّا مُنَظَّما
كأَنَّمَا,يُفَجِّي خُمَامَ النَّاسِ عَنَّا كأَنَّمَا يُفَجِّيهِمِ حَمٌّ مِنَ النَّارِ ثَاقِبُ,يُفَجِّي خُمَامَ النَّاسِ عَنَّا  يُفَجِّيهِمِ حَمٌّ مِنَ النَّارِ ثَاقِبُ
كأَنَّمَا,يُبينَانِ عَرْفَ العُرْفِ حَتَّى كأَنَّمَا يؤَرِّقُ في يَوْم الشَّمَالِ شَمُولُ,يُبينَانِ عَرْفَ العُرْفِ حَتَّى  يؤَرِّقُ في يَوْم الشَّمَالِ شَمُولُ
كأَنَّمَا,وتَرَى تَسَحُّبَنَا عليه كأَنَّمَا جئْناهُ نَطْلُبَ عِنْدَهُ مِيرَاثَا,وتَرَى تَسَحُّبَنَا عليه  جئْناهُ نَطْلُبَ عِنْدَهُ مِيرَاثَا
كأَنَّمَا,كأَنَّمَا أَوْبُ يَدَيْهَا إِلَى حَيْزُومِهَا فَوْقَ حَصَى الْفَدْفَدِ, أَوْبُ يَدَيْهَا إِلَى حَيْزُومِهَا فَوْقَ حَصَى الْفَدْفَدِ
كأَنَّمَا,فزُلْتُ عَنْهَا وَزَالَتْ في لَعَائِبِهَا كأَنَّمَا كانَ حُلْمًا غيْرَ مَعْبُورِ,فزُلْتُ عَنْهَا وَزَالَتْ في لَعَائِبِهَا  كانَ حُلْمًا غيْرَ مَعْبُورِ
كأَنَّمَا,كأَنَّمَا يَنْظُرُ فِي بُرْقُغ مِنْ تَحْتِ رَوْقٍ سَلِبِ المِذْوَدِ, يَنْظُرُ فِي بُرْقُغ مِنْ تَحْتِ رَوْقٍ سَلِبِ المِذْوَدِ
كأَنَّمَا,كأَنَّمَا عايَنُوا بي لَيْثَ مَلْحَمَةٍ غَضْبَانَ أوْ مَلِكًا بالتَّاجِ مَعْقُودِ, عايَنُوا بي لَيْثَ مَلْحَمَةٍ غَضْبَانَ أوْ مَلِكًا بالتَّاجِ مَعْقُودِ
كأَنََّمَا,كأَنََّمَا زُهاؤهُ لِمَنْ جَهَرْ لَيْلٌ ورِزٌ وَغْرِهِ إِذَا وَغَرْ, زُهاؤهُ لِمَنْ جَهَرْ لَيْلٌ ورِزٌ وَغْرِهِ إِذَا وَغَرْ
كما,رأى داءَ مجد المرء فضل ثرائه كما داءُ جسم المرء فضلُ المَطاعم,رأى داءَ مجد المرء فضل ثرائه  داءُ جسم المرء فضلُ المَطاعم
كما,صَفُوحٌ بِخَدَّيْها وقدْ طالَ جَرْيُها كما قلَّبَ الكَفَّ الألَدُّ الُمجَادِلُ,صَفُوحٌ بِخَدَّيْها وقدْ طالَ جَرْيُها  قلَّبَ الكَفَّ الألَدُّ الُمجَادِلُ
كما,نَظائِرُ أُلَّافٌ تَشِيعُ وتَلْتَقِي كما لاقَتِ الزُّهْرُ العَذارَى العَذارِيا,نَظائِرُ أُلَّافٌ تَشِيعُ وتَلْتَقِي  لاقَتِ الزُّهْرُ العَذارَى العَذارِيا
كما,وفلكك يلقى الفلك في اليمّ من عل كما يتلاقى سيّدٌ ومسودُ,وفلكك يلقى الفلك في اليمّ من عل  يتلاقى سيّدٌ ومسودُ
كما,تمشّى خلال الدُّور لا يعلفونها كما طوّفت مفروكة الرَّفغ صالفُ,تمشّى خلال الدُّور لا يعلفونها  طوّفت مفروكة الرَّفغ صالفُ
كما,انما حُشْتُمُ يزيدَ إلى النَّا رِ كما حاشكُمْ إليها وحاشا,انما حُشْتُمُ يزيدَ إلى النَّا رِ  حاشكُمْ إليها وحاشا
كما,هَبْنِي لَقِيتُ كما تَلْقَى وَخَامَرَنِي دَاءٌ كَدَائِكَ مِنْ جِنٍّ ومِنْ كَلَبِ,هَبْنِي لَقِيتُ  تَلْقَى وَخَامَرَنِي دَاءٌ كَدَائِكَ مِنْ جِنٍّ ومِنْ كَلَبِ
كما,فكأنني بك قد نجوتَ محمدا في النائبات كما دُعيت محمدا,فكأنني بك قد نجوتَ محمدا في النائبات  دُعيت محمدا
كما,وصبغ بنانها في زعفرانٍ بخديها كما احمر النجيع,وصبغ بنانها في زعفرانٍ بخديها  احمر النجيع
كما,لَيْسَ الفَتَى مِنْ رَأْسِهِ مُبْدَلا رَأْسًا كما يَفْعَلُ بارِي القَلَمْ,لَيْسَ الفَتَى مِنْ رَأْسِهِ مُبْدَلا رَأْسًا  يَفْعَلُ بارِي القَلَمْ
كمَا,دَهَمَتْهُ تَطايِرُ الزَّرَدَ المُحْـ ـكَمَ عَنْهُ كمَا يَطِيرُ النَّسِيلُ,دَهَمَتْهُ تَطايِرُ الزَّرَدَ المُحْـ ـكَمَ عَنْهُ  يَطِيرُ النَّسِيلُ
كمَا,إذا طَلَعَتْ أُولَى المُغِيرَةِ قَوَّمُوا كمَا قَوَّمَتْ نِيبٌ مُخَزَّمَةٌ زُجُرْ,إذا طَلَعَتْ أُولَى المُغِيرَةِ قَوَّمُوا  قَوَّمَتْ نِيبٌ مُخَزَّمَةٌ زُجُرْ
كمَا,تَخَوَّفَ السَّيْرُ مِنْهَا تامِكًا قَرِدًا كمَا تَخَوَّفَ عُودَ النَّبْعَةِ السَّفَنُ,تَخَوَّفَ السَّيْرُ مِنْهَا تامِكًا قَرِدًا  تَخَوَّفَ عُودَ النَّبْعَةِ السَّفَنُ
كمَا,نَعَمْ ذاكَ الحَديثُ كمَا تَقُولُ أبوحُ بهِ وَإن غضِبَ العذولُ,نَعَمْ ذاكَ الحَديثُ  تَقُولُ أبوحُ بهِ وَإن غضِبَ العذولُ
كمَا,فاجعلْ على بالِكَ شُغلي كمَا شكرُكَ لا يَبرَحُ عن بالي,فاجعلْ على بالِكَ شُغلي  شكرُكَ لا يَبرَحُ عن بالي
كمَا,ألا في سَبيلِ اللهِ أيّ نَدامَةٍ نموتُ، كمَا ماتَ الأُلى، كُلّما خلَوْا,ألا في سَبيلِ اللهِ أيّ نَدامَةٍ نموتُ،  ماتَ الأُلى، كُلّما خلَوْا
كمَا,وَزَفَّتِ الشَّوْلُ مِنْ بَرْدِ العَشِيِّ كمَا زَفَّ النَّعَامُ إلى حَفّانِهِ الرُّوحُ,وَزَفَّتِ الشَّوْلُ مِنْ بَرْدِ العَشِيِّ  زَفَّ النَّعَامُ إلى حَفّانِهِ الرُّوحُ
كمَا,جَمَدَ القِطارُ وَلَوْ رأتْهُ كمَا تَرَى بُهِتَتْ فَلَمْ تَتَبَجَّسِ الأنْوَاءُ,جَمَدَ القِطارُ وَلَوْ رأتْهُ  تَرَى بُهِتَتْ فَلَمْ تَتَبَجَّسِ الأنْوَاءُ
كمَا,يُعزَى لكَ الإحسانُ غَيرَ مُدافَعٍ وَالمُحسِنُونَ كمَا عَلِمتَ قَليلُ,يُعزَى لكَ الإحسانُ غَيرَ مُدافَعٍ وَالمُحسِنُونَ  عَلِمتَ قَليلُ
كمَا,تَعُودُ بِنفْسٍ لا تزلُّ عنِ الْهُدَى كمَا زَاغَ عَنْهُ ثابِتٌ وأقاربُه,تَعُودُ بِنفْسٍ لا تزلُّ عنِ الْهُدَى  زَاغَ عَنْهُ ثابِتٌ وأقاربُه
كَأنَّمَا,رَشَفْنَا ثُغورَ الأُنْسِ فيهَا كَأنَّمَا رَشَفْنَا ثُغُورَ الغِيدِ تَنْدَى أَقَاحِيَا,رَشَفْنَا ثُغورَ الأُنْسِ فيهَا  رَشَفْنَا ثُغُورَ الغِيدِ تَنْدَى أَقَاحِيَا
كَأنّما,وَكَلامُهُنّ كَأنّما مَرْفُوعُهُ بحَديثِهِنّ، إذا التَقَيْنَ، سِرَارُ,وَكَلامُهُنّ  مَرْفُوعُهُ بحَديثِهِنّ، إذا التَقَيْنَ، سِرَارُ
كَأنّما,فعادتْ بِكَ الأيَّامُ زُهْرًا كَأنّما جلا الدَّهْرُ منها عنْ خُدودِ الكَواعِبِ,فعادتْ بِكَ الأيَّامُ زُهْرًا  جلا الدَّهْرُ منها عنْ خُدودِ الكَواعِبِ
كَأنّما,مِنَ السّيْرِ وَالإسْآدِ حَتى كَأنّما سَقَاهُ الكَرَى في كلّ مَنزِلَةٍ خَمرَا,مِنَ السّيْرِ وَالإسْآدِ حَتى  سَقَاهُ الكَرَى في كلّ مَنزِلَةٍ خَمرَا
كَأنّما,طَابَتَ لِطِيبِ المُوقِدِينِ كَأنّما سَمُرٌ تَرُوحُ بِهِ الحَواطِبُ مُجْمَرُ,طَابَتَ لِطِيبِ المُوقِدِينِ  سَمُرٌ تَرُوحُ بِهِ الحَواطِبُ مُجْمَرُ
كَأنّما,فَما زَالَ يَفْري الشّدَّ حَتى كَأنّما قَوَائِمُهُ في جَانِبَيْهِ الزّعَانفُ,فَما زَالَ يَفْري الشّدَّ حَتى  قَوَائِمُهُ في جَانِبَيْهِ الزّعَانفُ
كَأنّما,أُنِيخَتْ إذا انْشَقّ العَمُودُ كَأنّما بنائِقُهُ مِنْ طَيْلَسانٍ وَمُجْسَدِ,أُنِيخَتْ إذا انْشَقّ العَمُودُ  بنائِقُهُ مِنْ طَيْلَسانٍ وَمُجْسَدِ
كَأنّما,فأضْحتْ غَداةَ الغِبِّ عَنّا كَأنّما يُدالي بهَا الرّاعي غَمامًا كَنَهْوَرَا,فأضْحتْ غَداةَ الغِبِّ عَنّا  يُدالي بهَا الرّاعي غَمامًا كَنَهْوَرَا
كَأنّما,خَوَاضِعَ يَعْمِينَ اللُّغَامَ، كَأنّما مَنَاسِمُهَا مَعْلُولَةٌ بِجِسَادِ,خَوَاضِعَ يَعْمِينَ اللُّغَامَ،  مَنَاسِمُهَا مَعْلُولَةٌ بِجِسَادِ
كَأنّما,في مُقْبِلِ الأمْرِ تَشْبِيهٌ وَمُدْبِرُهُ كَأنّما فِيهِ بِاللّيْلِ المَصَابِيحُ,في مُقْبِلِ الأمْرِ تَشْبِيهٌ وَمُدْبِرُهُ  فِيهِ بِاللّيْلِ المَصَابِيحُ
كَأنّمَا,أغَرُّ، أبُو العاصي أبُوهُ، كَأنّمَا تَفَرّجَتِ الأثْوَابُ عَنْ قمَرٍ بَدْرِ,أغَرُّ، أبُو العاصي أبُوهُ،  تَفَرّجَتِ الأثْوَابُ عَنْ قمَرٍ بَدْرِ
كَأنّمَا,تَرَاهَا إذَا صَامَ النّهَارُ كَأنّمَا تُسامي فَنيقاً أوْ تُخالِسُهُ خَطْرَا,تَرَاهَا إذَا صَامَ النّهَارُ  تُسامي فَنيقاً أوْ تُخالِسُهُ خَطْرَا
كَأنّمَا,رَأيْناكَ في أعْلى المُصَلّى كَأنّمَا تَطَلّعَ من مِحْرابِ داودَ، يُوسُفُ,رَأيْناكَ في أعْلى المُصَلّى  تَطَلّعَ من مِحْرابِ داودَ، يُوسُفُ
كَأنّمَا,لِمَيّةَ، حَيّا بالسّلامِ كَأنّمَا علَيْهِ دَمٌ لا يَقْبَلُ المَالَ ثَائِرُهْ,لِمَيّةَ، حَيّا بالسّلامِ  علَيْهِ دَمٌ لا يَقْبَلُ المَالَ ثَائِرُهْ
كَأنّمَا,تَسُوقانِ عَبّادًا زَعيمًا كَأنّمَا تَسُوقَانِ قِرْدًا للحَمَالَةِ أصْلَعَا,تَسُوقانِ عَبّادًا زَعيمًا  تَسُوقَانِ قِرْدًا للحَمَالَةِ أصْلَعَا
كَأنّمَا,كَأنّمَا مُوّتوا بالأمسِ إذْ وَقَعُوا، وَقَدْ بَدَتْ جُدَدٌ ألوَانُهَا شُهُرُ, مُوّتوا بالأمسِ إذْ وَقَعُوا، وَقَدْ بَدَتْ جُدَدٌ ألوَانُهَا شُهُرُ
كَأنّمَا,كَأنّمَا البَدْرُ لاحَ صُورَتُهُ حِينَ تَأمّّلتُ الجِيدَ وَالعُنُقَا, البَدْرُ لاحَ صُورَتُهُ حِينَ تَأمّّلتُ الجِيدَ وَالعُنُقَا
كَأنّمَا,مَوَاهِبُ فَيّاضِ اليَدَيْنِ، كَأنّمَا من المُزْنِ تُمرَى أوْ من البحرِ تُغزَفُ,مَوَاهِبُ فَيّاضِ اليَدَيْنِ،  من المُزْنِ تُمرَى أوْ من البحرِ تُغزَفُ
كَأنّمَا,فَعَاطَيْننا الأفْوَاهَ، حَتى كَأنّمَا شَرِبْنَا بِرَاحٍ مِنْ أبَارِيق تُسْتَرَا,فَعَاطَيْننا الأفْوَاهَ، حَتى  شَرِبْنَا بِرَاحٍ مِنْ أبَارِيق تُسْتَرَا
كَأنّمَا,كَأنّمَا الرّدْفُ مِنْهُ إذْ يَمِيسُ بهِ مَوْجٌ يُكَفْكِفُهُ الرّيحُ الجَنُوبيّ, الرّدْفُ مِنْهُ إذْ يَمِيسُ بهِ مَوْجٌ يُكَفْكِفُهُ الرّيحُ الجَنُوبيّ
كَأنَّما,كَأنَّما الفضّةُ البَيْضَاءُ سَائِلَةً مِنَ السّبَائِكِ تَجْري في مَجَاريها, الفضّةُ البَيْضَاءُ سَائِلَةً مِنَ السّبَائِكِ تَجْري في مَجَاريها
كَأنَّما,بِأَيْدِيهِمُِ السُّمْرُ العَوَالِي كَأنَّما تُشَبُّ عَلَى أَطْرَافِهِنَّ ذُبَالُ,بِأَيْدِيهِمُِ السُّمْرُ العَوَالِي  تُشَبُّ عَلَى أَطْرَافِهِنَّ ذُبَالُ
كَأنَّما,تَتَبَّعها بِالطَّعْنِ شَزْرًا كَأنَّما يبجِّسُ رَوْقاهُ المَزادَ اللَّبائِسا,تَتَبَّعها بِالطَّعْنِ شَزْرًا  يبجِّسُ رَوْقاهُ المَزادَ اللَّبائِسا
كَأنَّما,لَذيذةَ الرِّيقِ معَ الصَّبِيبِ كَأنَّما تَهمِي على القُلُوبِ,لَذيذةَ الرِّيقِ معَ الصَّبِيبِ  تَهمِي على القُلُوبِ
كَأنَّما,سُفعُ الخُدُودِ كَأنَّما نُثِرَتْ عَلَيْهنَّ المكاحِلْ,سُفعُ الخُدُودِ  نُثِرَتْ عَلَيْهنَّ المكاحِلْ
كَأنَّما,خَفَاهُنَّ منْ أنْفَاقِهنَّ كَأنَّما خَفَاهُنَّ وَدْقٌ من عَشِيٍّ مُحَلِّبِ,خَفَاهُنَّ منْ أنْفَاقِهنَّ  خَفَاهُنَّ وَدْقٌ من عَشِيٍّ مُحَلِّبِ
كَأنَّما,وتَبْسُطُ كفّاً في الحُقُوقِ كَأنَّما أنامِلُها في البأسِ والجُودِ أذْرُعُ!,وتَبْسُطُ كفّاً في الحُقُوقِ  أنامِلُها في البأسِ والجُودِ أذْرُعُ!
كَأنَّما,غَرائِبُ يَدْعُونَ الرُّواةَ كَأنَّما رَشَوْنَهم والرَّاكبَ المُتَغَرِّدا,غَرائِبُ يَدْعُونَ الرُّواةَ  رَشَوْنَهم والرَّاكبَ المُتَغَرِّدا
كَأنَّما,كَأنَّما حَثْحَثوا حُصًّا قَوادِمُهُ أَوْ أُمَّ خِشْفٍ بِذي شَثٍّ وَطُبَّاقِ, حَثْحَثوا حُصًّا قَوادِمُهُ أَوْ أُمَّ خِشْفٍ بِذي شَثٍّ وَطُبَّاقِ
كَأنَّما,كَأنَّما يَوْمِي حَوْلٌ إذا لَمْ أشْهَدِ اللَّهْوَ ولَمْ ألْعَبِ, يَوْمِي حَوْلٌ إذا لَمْ أشْهَدِ اللَّهْوَ ولَمْ ألْعَبِ
كَأنَّمَا,يَكْتَنُّ مِنْ وَهَجِ السُّمُومِ كَأنَّمَا جُدُدُ الْمَلَاءِ مِنَ الْبَيَاضِ ثِيَابُهُ,يَكْتَنُّ مِنْ وَهَجِ السُّمُومِ  جُدُدُ الْمَلَاءِ مِنَ الْبَيَاضِ ثِيَابُهُ
كَأنَّمَا,كَأنَّمَا جِئْتُهُ أُبَشِّرُهُ وَلَمْ أجئ رَاغباً وَمُحْتَلِبَا, جِئْتُهُ أُبَشِّرُهُ وَلَمْ أجئ رَاغباً وَمُحْتَلِبَا
كَأنَّمَا,أَخُو زَفْرَةٍ لَا يَسْتَقِيمُ كَأنَّمَا يَجُولُ فَرَاشُ الْفِكْرِ حَوْلَ ذُبَالِهِ,أَخُو زَفْرَةٍ لَا يَسْتَقِيمُ  يَجُولُ فَرَاشُ الْفِكْرِ حَوْلَ ذُبَالِهِ
كَأنَّمَا,كَأنَّمَا أقْسَمْتَ لا تَبْتَغي برِّي وَلا تَحْفِلْ بإيتَائي, أقْسَمْتَ لا تَبْتَغي برِّي وَلا تَحْفِلْ بإيتَائي
كَأنَّمَا,تُمِيلُ شِقَّيْهَا إِذَا مَا مَشَتْ كَأنَّمَا يَخْنِثُهَا خَانِثُ,تُمِيلُ شِقَّيْهَا إِذَا مَا مَشَتْ  يَخْنِثُهَا خَانِثُ
كَأنَّمَا,كَأنَّمَا رِيقَتُهُ مِسْكٌ عَلَيْهِ ضَرَبُ, رِيقَتُهُ مِسْكٌ عَلَيْهِ ضَرَبُ
كَأنَّمَا,كَأنَّمَا فِي كَبِدِي قُرْحَة ٌ مِنْ حُبِّهَا يَفْرِثُهَا فَارِثُ, فِي كَبِدِي قُرْحَة ٌ مِنْ حُبِّهَا يَفْرِثُهَا فَارِثُ
كَأنَّمَا,مُقَيَّرًا مُوَصَّلًا كَأنَّمَا قَدْ رَمَّ منه زَوْرَقًا أوْ زَبْزَبَا,مُقَيَّرًا مُوَصَّلًا  قَدْ رَمَّ منه زَوْرَقًا أوْ زَبْزَبَا
كَأنَّمَا,فَصَرَّدْتَ لِي تِلْكَ الْكُؤُوسَ كَأنَّمَا تَهَيَّبْتَ مِنْ ضَيْفِ المَشِيبِ المُوَقَّرِ,فَصَرَّدْتَ لِي تِلْكَ الْكُؤُوسَ  تَهَيَّبْتَ مِنْ ضَيْفِ المَشِيبِ المُوَقَّرِ
كَأنَّمَا,كَأنَّمَا الآلُ يَجْرِي فِي مَرَاكِبِهَا وَسْطَ النَّهَارِ وإنْ أُسْرِجْنَ في الغَسَقِ, الآلُ يَجْرِي فِي مَرَاكِبِهَا وَسْطَ النَّهَارِ وإنْ أُسْرِجْنَ في الغَسَقِ
كَأَنما,كَأَنما أَرَّقهَا داءُ النَّسَا, أَرَّقهَا داءُ النَّسَا
كَأَنمَا,لَهَا أَرَجٌ فِي الْبَيْتِ عَالٍ كَأَنمَا أَلَمَّ بِهِ مِنْ تَجْرِ دَارِينَ أَرْكبُ,لَهَا أَرَجٌ فِي الْبَيْتِ عَالٍ  أَلَمَّ بِهِ مِنْ تَجْرِ دَارِينَ أَرْكبُ
كَأَنَّما,وقَدْ تَرَكوا بِنْتَ القُيونِ كَأَنَّما بَقِيَّةُ ما أَبْقَوْا وَجارٌ مُجَوَّفُ,وقَدْ تَرَكوا بِنْتَ القُيونِ  بَقِيَّةُ ما أَبْقَوْا وَجارٌ مُجَوَّفُ
كَأَنَّما,فَفَرَّجتُ عَنهُ الكَرْبَ حَتّى كَأَنَّما تَأَوّى مِنَ الهَيجا إِلى حَوزِ مَعْقِلِ,فَفَرَّجتُ عَنهُ الكَرْبَ حَتّى  تَأَوّى مِنَ الهَيجا إِلى حَوزِ مَعْقِلِ
كَأَنَّما,تَدْعو الفَرَزْدَقَ والأَشَدُّ كَأَنَّما يَكْوِي اسْتَها بِعَمودِ ساجٍ مُحْرَقِ,تَدْعو الفَرَزْدَقَ والأَشَدُّ  يَكْوِي اسْتَها بِعَمودِ ساجٍ مُحْرَقِ
كَأَنَّما,وهُمْ رَجَعوها مُسْحِرينَ كَأَنَّما بِجِعْثِنَ مِنْ حُمَّى المَدينَةِ قَفْقَفُ,وهُمْ رَجَعوها مُسْحِرينَ  بِجِعْثِنَ مِنْ حُمَّى المَدينَةِ قَفْقَفُ
كَأَنَّما,وكَلامُهُنَّ كَأَنَّما مَرْفوعُهُ بِحَديثِهِنَّ إِذا الْتَقَيْنَ سِرارُ,وكَلامُهُنَّ  مَرْفوعُهُ بِحَديثِهِنَّ إِذا الْتَقَيْنَ سِرارُ
كَأَنَّما,تَرَى في نَواحِيها الفِراخَ كَأَنَّما جَثَمْنَ حَوالَيْ أُمِّ أَرْبَعَة طُحلِ,تَرَى في نَواحِيها الفِراخَ  جَثَمْنَ حَوالَيْ أُمِّ أَرْبَعَة طُحلِ
كَأَنَّما,إِذا الحَيُّ في دَارِ الجَميعِ كَأَنَّما يكونُ عَليْنا نِصْفُ حولٍ لَيالِيا,إِذا الحَيُّ في دَارِ الجَميعِ  يكونُ عَليْنا نِصْفُ حولٍ لَيالِيا
كَأَنَّما,ولَجَّ بِكَ الهِجْرانُ حَتَّى كَأَنَّما تَرَى المَوْتَ في البَيْتِ الَّذي كُنْتَ تَيْلَفُ,ولَجَّ بِكَ الهِجْرانُ حَتَّى  تَرَى المَوْتَ في البَيْتِ الَّذي كُنْتَ تَيْلَفُ
كَأَنَّما,يُرادَى عَلى فَأسِ اللِّجامِ كَأَنَّما يُرادَى بِهِ مَرْقاةُ جِذْعِ مُشَذَّبِ,يُرادَى عَلى فَأسِ اللِّجامِ  يُرادَى بِهِ مَرْقاةُ جِذْعِ مُشَذَّبِ
كَأَنَّما,مَباشيمُ عَنْ غِبِّ الخَزيرِ كَأَنَّما تُصَوِّتُ في أَعْفاجِهِنَّ الضَّفادِعُ,مَباشيمُ عَنْ غِبِّ الخَزيرِ  تُصَوِّتُ في أَعْفاجِهِنَّ الضَّفادِعُ
كَأَنَّمَا,عَلَيْهَا نَشَاوَى مِنْ سُهَادٍ كَأَنَّمَا أَدَارُوا عَلى الرَّكْبِ الرَّحِيقَ المُشَعْشَعَا,عَلَيْهَا نَشَاوَى مِنْ سُهَادٍ  أَدَارُوا عَلى الرَّكْبِ الرَّحِيقَ المُشَعْشَعَا
كَأَنَّمَا,كَأَنَّمَا فِي نَشْرِهَا إِذَا نَشَرْ, فِي نَشْرِهَا إِذَا نَشَرْ
كَأَنَّمَا,يَعْثُرْنَ فِي حَدِّ الظُّبَاتِ كَأَنَّمَا كُسِيَتْ بُرُودَ بَنِي تَزِيدَ الْأَذْرُعُ,يَعْثُرْنَ فِي حَدِّ الظُّبَاتِ  كُسِيَتْ بُرُودَ بَنِي تَزِيدَ الْأَذْرُعُ
كَأَنَّمَا,وَمُطَّرِدٌ لَّدْنُ الْكُعُوبِ كَأَنَّمَا تَغَشَّاهُ مُنْبَاعٌ مِّنَ الزَّيْتِ سَائِلُ,وَمُطَّرِدٌ لَّدْنُ الْكُعُوبِ  تَغَشَّاهُ مُنْبَاعٌ مِّنَ الزَّيْتِ سَائِلُ
كَأَنَّمَا,فَمَا أَحْدَثَتْ فِيهَا الْعُهُودُ كَأَنَّمَا تَلَعَّبَ بِالسَّمَّانِ فِيهَا الزَّخَارِفُ,فَمَا أَحْدَثَتْ فِيهَا الْعُهُودُ  تَلَعَّبَ بِالسَّمَّانِ فِيهَا الزَّخَارِفُ
